CALENDAR_YEAR,COC_ID,COC_NAME,RACE,EXPERIENCING_HOMELESSNESS
2017,All,California,"American Indian, Alaska Native, or Indigenous",5603
2017,All,California,Asian or Asian American,2986
2017,All,California,"Black, African American, or African",57534
2017,All,California,Multiple Races,9012
2017,All,California,Native Hawaiian or Pacific Islander,2538
2017,All,California,Unknown,6373
2017,All,California,White,99186
2017,CA-500,Santa Clara County CoC,"American Indian, Alaska Native, or Indigenous",602
2017,CA-500,Santa Clara County CoC,Asian or Asian American,420
2017,CA-500,Santa Clara County CoC,"Black, African American, or African",1575
2017,CA-500,Santa Clara County CoC,Multiple Races,765
2017,CA-500,Santa Clara County CoC,Native Hawaiian or Pacific Islander,242
2017,CA-500,Santa Clara County CoC,Unknown,262
2017,CA-500,Santa Clara County CoC,White,6299
2017,CA-501,San Francisco CoC,"American Indian, Alaska Native, or Indigenous",276
2017,CA-501,San Francisco CoC,Asian or Asian American,185
2017,CA-501,San Francisco CoC,"Black, African American, or African",1686
2017,CA-501,San Francisco CoC,Multiple Races,235
2017,CA-501,San Francisco CoC,Native Hawaiian or Pacific Islander,109
2017,CA-501,San Francisco CoC,Unknown,456
2017,CA-501,San Francisco CoC,White,1421
2017,CA-502,Alameda County CoC,"American Indian, Alaska Native, or Indigenous",226
2017,CA-502,Alameda County CoC,Asian or Asian American,180
2017,CA-502,Alameda County CoC,"Black, African American, or African",3671
2017,CA-502,Alameda County CoC,Multiple Races,630
2017,CA-502,Alameda County CoC,Native Hawaiian or Pacific Islander,96
2017,CA-502,Alameda County CoC,Unknown,75
2017,CA-502,Alameda County CoC,White,1723
2017,CA-503,Sacramento County CoC,"American Indian, Alaska Native, or Indigenous",247
2017,CA-503,Sacramento County CoC,Asian or Asian American,122
2017,CA-503,Sacramento County CoC,"Black, African American, or African",4613
2017,CA-503,Sacramento County CoC,Multiple Races,865
2017,CA-503,Sacramento County CoC,Native Hawaiian or Pacific Islander,161
2017,CA-503,Sacramento County CoC,Unknown,24
2017,CA-503,Sacramento County CoC,White,4272
2017,CA-504,Sonoma County CoC,"American Indian, Alaska Native, or Indigenous",318
2017,CA-504,Sonoma County CoC,Asian or Asian American,32
2017,CA-504,Sonoma County CoC,"Black, African American, or African",224
2017,CA-504,Sonoma County CoC,Multiple Races,312
2017,CA-504,Sonoma County CoC,Native Hawaiian or Pacific Islander,50
2017,CA-504,Sonoma County CoC,Unknown,17
2017,CA-504,Sonoma County CoC,White,2140
2017,CA-505,Contra Costa County CoC,"American Indian, Alaska Native, or Indigenous",339
2017,CA-505,Contra Costa County CoC,Asian or Asian American,76
2017,CA-505,Contra Costa County CoC,"Black, African American, or African",1832
2017,CA-505,Contra Costa County CoC,Multiple Races,275
2017,CA-505,Contra Costa County CoC,Native Hawaiian or Pacific Islander,125
2017,CA-505,Contra Costa County CoC,Unknown,156
2017,CA-505,Contra Costa County CoC,White,1999
2017,CA-506,"Monterey, San Benito Counties CoC","American Indian, Alaska Native, or Indigenous",71
2017,CA-506,"Monterey, San Benito Counties CoC",Asian or Asian American,39
2017,CA-506,"Monterey, San Benito Counties CoC","Black, African American, or African",227
2017,CA-506,"Monterey, San Benito Counties CoC",Multiple Races,128
2017,CA-506,"Monterey, San Benito Counties CoC",Native Hawaiian or Pacific Islander,34
2017,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2017,CA-506,"Monterey, San Benito Counties CoC",White,1717
2017,CA-507,Marin County CoC,"American Indian, Alaska Native, or Indigenous",29
2017,CA-507,Marin County CoC,Asian or Asian American,36
2017,CA-507,Marin County CoC,"Black, African American, or African",343
2017,CA-507,Marin County CoC,Multiple Races,57
2017,CA-507,Marin County CoC,Native Hawaiian or Pacific Islander,18
2017,CA-507,Marin County CoC,Unknown,63
2017,CA-507,Marin County CoC,White,1079
2017,CA-508,Santa Cruz County CoC,"American Indian, Alaska Native, or Indigenous",197
2017,CA-508,Santa Cruz County CoC,Asian or Asian American,20
2017,CA-508,Santa Cruz County CoC,"Black, African American, or African",105
2017,CA-508,Santa Cruz County CoC,Multiple Races,109
2017,CA-508,Santa Cruz County CoC,Native Hawaiian or Pacific Islander,19
2017,CA-508,Santa Cruz County CoC,Unknown,65
2017,CA-508,Santa Cruz County CoC,White,1377
2017,CA-509,Mendocino County CoC,"American Indian, Alaska Native, or Indigenous",66
2017,CA-509,Mendocino County CoC,Asian or Asian American,*
2017,CA-509,Mendocino County CoC,"Black, African American, or African",35
2017,CA-509,Mendocino County CoC,Multiple Races,38
2017,CA-509,Mendocino County CoC,Native Hawaiian or Pacific Islander,*
2017,CA-509,Mendocino County CoC,Unknown,*
2017,CA-509,Mendocino County CoC,White,555
2017,CA-510,Stanislaus County CoC,"American Indian, Alaska Native, or Indigenous",145
2017,CA-510,Stanislaus County CoC,Asian or Asian American,89
2017,CA-510,Stanislaus County CoC,"Black, African American, or African",772
2017,CA-510,Stanislaus County CoC,Multiple Races,460
2017,CA-510,Stanislaus County CoC,Native Hawaiian or Pacific Islander,93
2017,CA-510,Stanislaus County CoC,Unknown,*
2017,CA-510,Stanislaus County CoC,White,4635
2017,CA-511,San Joaquin County CoC,"American Indian, Alaska Native, or Indigenous",132
2017,CA-511,San Joaquin County CoC,Asian or Asian American,185
2017,CA-511,San Joaquin County CoC,"Black, African American, or African",3290
2017,CA-511,San Joaquin County CoC,Multiple Races,630
2017,CA-511,San Joaquin County CoC,Native Hawaiian or Pacific Islander,92
2017,CA-511,San Joaquin County CoC,Unknown,367
2017,CA-511,San Joaquin County CoC,White,4923
2017,CA-512,San Mateo County CoC,"American Indian, Alaska Native, or Indigenous",268
2017,CA-512,San Mateo County CoC,Asian or Asian American,215
2017,CA-512,San Mateo County CoC,"Black, African American, or African",687
2017,CA-512,San Mateo County CoC,Multiple Races,161
2017,CA-512,San Mateo County CoC,Native Hawaiian or Pacific Islander,365
2017,CA-512,San Mateo County CoC,Unknown,65
2017,CA-512,San Mateo County CoC,White,1996
2017,CA-513,"Kings, Tulare Counties CoC","American Indian, Alaska Native, or Indigenous",100
2017,CA-513,"Kings, Tulare Counties CoC",Asian or Asian American,15
2017,CA-513,"Kings, Tulare Counties CoC","Black, African American, or African",376
2017,CA-513,"Kings, Tulare Counties CoC",Multiple Races,97
2017,CA-513,"Kings, Tulare Counties CoC",Native Hawaiian or Pacific Islander,16
2017,CA-513,"Kings, Tulare Counties CoC",Unknown,112
2017,CA-513,"Kings, Tulare Counties CoC",White,2253
2017,CA-514,"Fresno, Madera Counties CoC","American Indian, Alaska Native, or Indigenous",88
2017,CA-514,"Fresno, Madera Counties CoC",Asian or Asian American,30
2017,CA-514,"Fresno, Madera Counties CoC","Black, African American, or African",517
2017,CA-514,"Fresno, Madera Counties CoC",Multiple Races,77
2017,CA-514,"Fresno, Madera Counties CoC",Native Hawaiian or Pacific Islander,13
2017,CA-514,"Fresno, Madera Counties CoC",Unknown,*
2017,CA-514,"Fresno, Madera Counties CoC",White,1504
2017,CA-515,Placer County CoC,"American Indian, Alaska Native, or Indigenous",41
2017,CA-515,Placer County CoC,Asian or Asian American,*
2017,CA-515,Placer County CoC,"Black, African American, or African",93
2017,CA-515,Placer County CoC,Multiple Races,156
2017,CA-515,Placer County CoC,Native Hawaiian or Pacific Islander,*
2017,CA-515,Placer County CoC,Unknown,18
2017,CA-515,Placer County CoC,White,946
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","American Indian, Alaska Native, or Indigenous",14
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Asian or Asian American,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Black, African American, or African",*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Multiple Races,25
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Native Hawaiian or Pacific Islander,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,40
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",White,165
2017,CA-517,Napa County CoC,"American Indian, Alaska Native, or Indigenous",111
2017,CA-517,Napa County CoC,Asian or Asian American,*
2017,CA-517,Napa County CoC,"Black, African American, or African",59
2017,CA-517,Napa County CoC,Multiple Races,25
2017,CA-517,Napa County CoC,Native Hawaiian or Pacific Islander,17
2017,CA-517,Napa County CoC,Unknown,*
2017,CA-517,Napa County CoC,White,725
2017,CA-518,Solano County CoC,"American Indian, Alaska Native, or Indigenous",39
2017,CA-518,Solano County CoC,Asian or Asian American,17
2017,CA-518,Solano County CoC,"Black, African American, or African",407
2017,CA-518,Solano County CoC,Multiple Races,83
2017,CA-518,Solano County CoC,Native Hawaiian or Pacific Islander,31
2017,CA-518,Solano County CoC,Unknown,34
2017,CA-518,Solano County CoC,White,395
