County,Population,Total Housing Units,Year,Units Overcrowded,Units Severely Overcrowded,Units Income < 50K,Units Costs >= 30%
Merced County,267390.0,79261.0,2017,5576.0,1711.0,75447.0,29818.0
Lake County,64095.0,26327.0,2017,505.0,275.0,24890.0,10623.0
Mariposa County,17658.0,7434.0,2017,76.0,37.0,7110.0,2378.0
Modoc County,9017.0,3638.0,2017,80.0,17.0,3458.0,1191.0
Yuba County,74644.0,25880.0,2017,1209.0,534.0,25061.0,10093.0
Contra Costa County,1123678.0,389597.0,2017,13170.0,4726.0,382052.0,147584.0
Inyo County,18195.0,8026.0,2017,147.0,15.0,7689.0,2510.0
Lassen County,31470.0,9441.0,2017,89.0,16.0,9125.0,2690.0
Stanislaus County,535684.0,171324.0,2017,8788.0,2744.0,166097.0,66936.0
Santa Barbara County,442996.0,144015.0,2017,9179.0,5629.0,140427.0,61407.0
Sonoma County,500943.0,190058.0,2017,6814.0,2950.0,185364.0,76590.0
Tehama County,63247.0,23712.0,2017,886.0,350.0,22982.0,9524.0
Imperial County,179957.0,45198.0,2017,3542.0,1249.0,43470.0,17101.0
Mono County,14058.0,4899.0,2017,40.0,48.0,4600.0,1606.0
San Benito County,58671.0,17440.0,2017,911.0,496.0,17073.0,6653.0
Alameda County,1629615.0,569070.0,2017,27872.0,13657.0,556059.0,218874.0
Sacramento County,1495400.0,532050.0,2017,18937.0,6890.0,518690.0,207787.0
El Dorado County,185015.0,68084.0,2017,1133.0,326.0,66165.0,24967.0
Napa County,141005.0,49044.0,2017,2086.0,743.0,47904.0,18958.0
Monterey County,433168.0,125939.0,2017,10015.0,6288.0,122698.0,54537.0
San Francisco County,864263.0,358772.0,2017,9495.0,12642.0,348299.0,128715.0
Sierra County,2885.0,1208.0,2017,2.0,0.0,1180.0,413.0
Tulare County,458809.0,135144.0,2017,10169.0,3285.0,130247.0,54514.0
Yolo County,212605.0,72845.0,2017,2827.0,1041.0,69716.0,27598.0
Humboldt County,135490.0,53966.0,2017,1338.0,682.0,51696.0,22902.0
Nevada County,98838.0,40386.0,2017,534.0,320.0,39161.0,16142.0
Alpine County,1203.0,304.0,2017,9.0,1.0,295.0,128.0
Madera County,154440.0,44458.0,2017,3077.0,1194.0,42413.0,16967.0
Mendocino County,87497.0,34182.0,2017,1253.0,477.0,32516.0,13922.0
