County,Population,Total Households,Year,Households Severely Overcrowded,Households Overcrowded,Households with Cost Burden
Merced County,267390.0,79261.0,2017,1711.0,7287.0,29818.0
Lake County,64095.0,26327.0,2017,275.0,780.0,10623.0
Mariposa County,17658.0,7434.0,2017,37.0,113.0,2378.0
Modoc County,9017.0,3638.0,2017,17.0,97.0,1191.0
Yuba County,74644.0,25880.0,2017,534.0,1743.0,10093.0
Contra Costa County,1123678.0,389597.0,2017,4726.0,17896.0,147584.0
Inyo County,18195.0,8026.0,2017,15.0,162.0,2510.0
Lassen County,31470.0,9441.0,2017,16.0,105.0,2690.0
Stanislaus County,535684.0,171324.0,2017,2744.0,11532.0,66936.0
Santa Barbara County,442996.0,144015.0,2017,5629.0,14808.0,61407.0
Sonoma County,500943.0,190058.0,2017,2950.0,9764.0,76590.0
Tehama County,63247.0,23712.0,2017,350.0,1236.0,9524.0
Imperial County,179957.0,45198.0,2017,1249.0,4791.0,17101.0
Mono County,14058.0,4899.0,2017,48.0,88.0,1606.0
San Benito County,58671.0,17440.0,2017,496.0,1407.0,6653.0
Alameda County,1629615.0,569070.0,2017,13657.0,41529.0,218874.0
Sacramento County,1495400.0,532050.0,2017,6890.0,25827.0,207787.0
El Dorado County,185015.0,68084.0,2017,326.0,1459.0,24967.0
Napa County,141005.0,49044.0,2017,743.0,2829.0,18958.0
Monterey County,433168.0,125939.0,2017,6288.0,16303.0,54537.0
San Francisco County,864263.0,358772.0,2017,12642.0,22137.0,128715.0
Sierra County,2885.0,1208.0,2017,0.0,2.0,413.0
Tulare County,458809.0,135144.0,2017,3285.0,13454.0,54514.0
Yolo County,212605.0,72845.0,2017,1041.0,3868.0,27598.0
Humboldt County,135490.0,53966.0,2017,682.0,2020.0,22902.0
Nevada County,98838.0,40386.0,2017,320.0,854.0,16142.0
Alpine County,1203.0,304.0,2017,1.0,10.0,128.0
Madera County,154440.0,44458.0,2017,1194.0,4271.0,16967.0
Mendocino County,87497.0,34182.0,2017,477.0,1730.0,13922.0
Santa Cruz County,273263.0,95536.0,2017,2534.0,6545.0,41960.0
Trinity County,13037.0,5462.0,2017,59.0,140.0,2146.0
Los Angeles County,10105722.0,3295198.0,2017,157771.0,384327.0,1554854.0
Riverside County,2355002.0,711724.0,2017,13217.0,50021.0,299282.0
San Bernardino County,2121220.0,623642.0,2017,13554.0,54760.0,262046.0
Santa Clara County,1911226.0,630451.0,2017,16198.0,50098.0,230198.0
Marin County,260814.0,104846.0,2017,1577.0,4066.0,41438.0
Placer County,374985.0,138564.0,2017,833.0,3017.0,49932.0
Siskiyou County,43530.0,19018.0,2017,156.0,589.0,6972.0
Shasta County,178919.0,70486.0,2017,664.0,2174.0,28406.0
Solano County,434981.0,147352.0,2017,1945.0,7299.0,57013.0
Del Norte County,27442.0,9683.0,2017,150.0,338.0,3407.0
Colusa County,21479.0,7047.0,2017,158.0,584.0,2259.0
Glenn County,27935.0,9936.0,2017,53.0,481.0,3333.0
Butte County,225207.0,86167.0,2017,685.0,2564.0,34750.0
Kings County,150183.0,42349.0,2017,893.0,3550.0,14811.0
Plumas County,18724.0,8287.0,2017,0.0,65.0,2937.0
San Luis Obispo County,280119.0,105044.0,2017,1226.0,3578.0,41792.0
Fresno County,971616.0,301824.0,2017,7223.0,28242.0,121110.0
Kern County,878744.0,264993.0,2017,5761.0,23926.0,98963.0
Orange County,3155816.0,1024976.0,2017,31782.0,91475.0,434454.0
Ventura County,847834.0,270046.0,2017,5632.0,18376.0,110769.0
Calaveras County,45057.0,17812.0,2017,116.0,300.0,7097.0
Sutter County,95583.0,32188.0,2017,623.0,2249.0,11653.0
San Mateo County,763450.0,261796.0,2017,7943.0,20199.0,99156.0
Tuolumne County,53899.0,22267.0,2017,112.0,667.0,8052.0
San Joaquin County,724153.0,223808.0,2017,3998.0,15895.0,88818.0
Amador County,37306.0,14185.0,2017,49.0,266.0,4684.0
San Diego County,3283665.0,1111739.0,2017,23702.0,72686.0,480362.0
Merced County,269075.0,79606.0,2018,1829.0,7611.0,29598.0
Mariposa County,17540.0,7700.0,2018,46.0,168.0,2452.0
Modoc County,8938.0,3660.0,2018,19.0,125.0,1000.0
Contra Costa County,1133247.0,392277.0,2018,5050.0,18938.0,146354.0
