Continuum of Care,Population,Total Housing Units,Units Overcrowded,Units Severely Overcrowded,Units Income < 50K,Units Costs >= 30%,Homeless Count,% Units Overcrowded,% Units Severely Overcrowded,% Units All Overcrowded,% Units Inc < 50K Costs >= 30%,% Units Costs >= 30%,% Homeless
Alameda County CoC,1673133.0,581683.0,28978.0,23467.0,125074.0,103256.0,7591.75,4.981751228762057,4.0343279758906485,9.016079204652707,82.55592689128036,17.751249391850887,0.45374456184893847
"Alpine, Inyo, Mono Counties CoC",33439.0,13627.0,326.0,73.0,4326.0,2544.0,181.0,2.3923093857782343,0.5357011814779482,2.9280105672561825,58.80721220527045,18.668819255889044,0.5412841293100871
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",157912.0,62894.0,1149.0,736.0,22432.0,15749.0,387.25,1.8268833275034184,1.1702229147454448,2.9971062422488632,70.20773894436519,25.04054440805164,0.24523152135366533
Butte County CoC,217884.0,85292.0,2151.0,1329.0,34012.0,24444.0,1636.5,2.5219246822679735,1.5581766167987618,4.080101299066735,71.86875220510409,28.659194297237722,0.7510877347579447
"Colusa, Glenn, Trinity Counties CoC",66273.0,22548.0,740.0,227.0,9830.0,6009.0,363.0,3.28188752882739,1.0067411743835373,4.288628703210928,61.12919633774161,26.649813730707823,0.5477343714634919
Contra Costa County CoC,1161643.0,405106.0,14159.0,9916.0,80749.0,66060.0,5618.25,3.495134606744901,2.4477544148938795,5.942889021638781,81.80906265093067,16.306843147225663,0.4836468691327715
El Dorado County CoC,190568.0,74535.0,1155.0,461.0,19268.0,14766.0,204.25,1.5496075669148723,0.6185013751928624,2.1681089421077346,76.63483495951837,19.81082712819481,0.10717958943789094
"Fresno, Madera Counties CoC",1159454.0,357999.0,21329.0,17108.0,139405.0,104045.0,2781.75,5.957837871055506,4.778784298280163,10.73662216933567,74.63505613141565,29.06293034338085,0.239918961856184
Humboldt County CoC,137014.0,53729.0,1517.0,1372.0,23725.0,17541.0,1366.0,2.823428688417801,2.553555807850509,5.376984496268309,73.93466807165437,32.647173779523165,0.9969784109653028
Imperial County CoC,180051.0,45541.0,2539.0,1911.0,22185.0,14831.0,798.5,5.575195977251268,4.196218791857886,9.771414769109155,66.85147622267297,32.56625897542874,0.44348545689832325
Kern County CoC,905644.0,274705.0,18151.0,11139.0,111274.0,80294.0,5120.5,6.607451629930289,4.054895251269543,10.662346881199833,72.15881517695058,29.229173112975737,0.5653987659610178
"Kings, Tulare Counties CoC",622886.0,182917.0,13115.0,5508.0,73748.0,53221.0,3318.0,7.169918596959277,3.0112018019101563,10.181120398869432,72.16602484135163,29.095710076154756,0.5326817427265984
Lake County CoC,67749.0,26307.0,654.0,385.0,11262.0,7301.0,131.5,2.4860303341316,1.4634888052609571,3.949519139392557,64.82862724205292,27.753069525221424,0.19409880588643375
Los Angeles County CoC,10019635.0,3342811.0,214942.0,213461.0,1052002.0,896956.0,82430.0,6.4299776445632135,6.385673614212709,12.815651258775922,85.26181509160628,26.832387472698876,0.8226846586726961
Marin County CoC,262387.0,103751.0,2893.0,2732.0,18846.0,15360.0,1345.5,2.7884068587290725,2.633227631540901,5.421634490269973,81.50270614453996,14.80467658143054,0.5127921733927366
Mendocino County CoC,91534.0,34183.0,1111.0,793.0,14069.0,9711.0,760.0,3.250153585115408,2.3198666003569026,5.570020185472311,69.02409552917761,28.408858204370596,0.8302925688815086
Merced County CoC,279150.0,81618.0,4856.0,2467.0,32094.0,23104.0,2129.75,5.949667965399789,3.0226175598519935,8.972285525251783,71.98853368230822,28.307481192874125,0.7629410711087229
"Monterey, San Benito Counties CoC",502282.0,149121.0,13551.0,8533.0,39829.0,32489.0,1023.25,9.087251292574486,5.722198751349575,14.80945004392406,81.57121695247181,21.787005183709873,0.20372022091175876
Napa County CoC,138795.0,48745.0,2220.0,1080.0,11663.0,9166.0,1066.75,4.554313262898759,2.215611857626423,6.769925120525182,78.5904141301552,18.803979895373885,0.7685795597824129
Nevada County CoC,102090.0,40877.0,434.0,348.0,13619.0,10301.0,559.0,1.0617217506177068,0.8513344912787142,1.913056241896421,75.63697775167046,25.199990214546077,0.5475560779704183
Orange County CoC,3182923.0,1057592.0,58031.0,47251.0,237521.0,200854.0,11972.0,5.487087648166779,4.467790981777472,9.95487862994425,84.56262814656388,18.991633824764182,0.37613225327788324
Placer County CoC,400330.0,149714.0,2130.0,1560.0,33155.0,26099.0,1568.0,1.4227126387645779,1.0419867213487048,2.4646993601132827,78.71814206002111,17.43257143620503,0.39167686658506734
Riverside County CoC,2409331.0,740506.0,36800.0,19903.0,229307.0,179137.0,7762.25,4.969574858272587,2.687756750114111,7.657331608386697,78.12103424666496,24.19116117897762,0.322174495741764
Sacramento County CoC,1571767.0,559036.0,21506.0,14347.0,171386.0,138650.0,10603.75,3.8469794431843387,2.5663821292367572,6.413361572421096,80.89925664873444,24.801622793523137,0.674638798244269
San Bernardino County CoC,2171071.0,651743.0,41023.0,22877.0,214042.0,166671.0,8397.0,6.294352221657923,3.510125923868764,9.804478145526687,77.86836228403772,25.573117010846303,0.3867676368022971
San Diego County CoC,3296317.0,1139899.0,51401.0,39868.0,297898.0,249303.0,16100.5,4.50925915366186,3.4975028489366164,8.006762002598476,83.68736950231288,21.870621870885053,0.4884390669950736
San Francisco CoC,865933.0,361222.0,9818.0,20194.0,82049.0,62505.0,7531.75,2.7179961353405937,5.59046791169973,8.308464047040324,76.18008750868384,17.303763336673846,0.8697843828564102
San Joaquin County CoC,771406.0,234662.0,14097.0,7533.0,72035.0,56620.0,9918.0,6.007363782802499,3.2101490654643703,9.21751284826687,78.60068022489067,24.128320733650956,1.2857042854216845
San Luis Obispo County CoC,282771.0,106790.0,2422.0,1391.0,30846.0,23899.0,1824.25,2.2680026219683493,1.302556419140369,3.570559041108718,77.47844128898399,22.379436276804945,0.6451333411134805
San Mateo County CoC,762488.0,264892.0,11328.0,11304.0,43510.0,36256.0,4472.75,4.276459840236776,4.267399543965087,8.543859384201863,83.32797058147551,13.687087567763465,0.5865993956626203
Santa Barbara County CoC,447651.0,147446.0,9250.0,8313.0,40381.0,32427.0,2834.0,6.273483173500807,5.637996283385103,11.91147945688591,80.30261756766797,21.992458255903856,0.633082468262106
Santa Clara County CoC,1932022.0,646847.0,32328.0,26706.0,104543.0,87306.0,11727.0,4.997781546486264,4.128642476505264,9.126424022991527,83.51204767416279,13.497163935211882,0.606980665851631
Santa Cruz County CoC,272138.0,96476.0,4172.0,3292.0,23283.0,18727.0,2268.0,4.3243915585223265,3.4122476056221234,7.73663916414445,80.43207490443672,19.411045234047847,0.8334007011148755
"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",318123.0,121148.0,2899.0,1059.0,49515.0,31363.0,798.75,2.3929408657179647,0.8741374186944894,3.267078284412454,63.34040189841462,25.888169841846338,0.2510821286106317
Solano County CoC,451432.0,153632.0,5772.0,4086.0,37241.0,29394.0,1145.5,3.7570297854613623,2.6596021662153717,6.416631951676734,78.92913724121264,19.1327327640075,0.2537480727994471
Sonoma County CoC,492498.0,188841.0,6476.0,3755.0,46739.0,36097.0,3564.75,3.4293400267950287,1.9884453058393041,5.417785332634333,77.2310062260639,19.115022691046963,0.7238100459291205
Stanislaus County CoC,550842.0,175067.0,9335.0,3805.0,59719.0,46120.0,5926.75,5.332244226496141,2.173453592053328,7.50569781854947,77.22835278554564,26.344199649277133,1.075943737042564
Tehama County CoC,65345.0,24551.0,623.0,435.0,10966.0,7027.0,404.25,2.5375748442018655,1.771821921713983,4.3093967659158485,64.07988327557906,28.622052054906117,0.6186395286555972
Ventura County CoC,845255.0,274471.0,11812.0,7775.0,65332.0,51955.0,2005.25,4.3035511948439,2.8327218540392245,7.136273048883124,79.52458213432926,18.929140054869183,0.23723610034841555
Yolo County CoC,216703.0,75471.0,3444.0,2220.0,22359.0,17809.0,1066.75,4.563342210915451,2.941527209126684,7.5048694200421355,79.65025269466433,23.59714327357528,0.49226360502623406
"Yuba, Sutter Counties CoC",179484.0,59591.0,2625.0,1248.0,21282.0,14917.0,367.0,4.405027604839657,2.09427598127234,6.499303586111997,70.09209660746171,25.032303535768825,0.20447505070089814
