NAME,B01003_001E,B25014_001E,B25014_005E,B25014_006E,B25014_007E,B25014_011E,B25014_012E,B25014_013E,B25106_006E,B25106_010E,B25106_014E,B25106_018E,B25106_022E,B25106_028E,B25106_032E,B25106_036E,B25106_040E,B25106_044E,state,county,Year
"Merced County, California",267390.0,79261.0,1775.0,312.0,224.0,3801.0,849.0,326.0,3248.0,2772.0,2438.0,1844.0,1034.0,8740.0,6047.0,2963.0,656.0,76.0,06,047,2017
"Lake County, California",64095.0,26327.0,247.0,63.0,71.0,258.0,141.0,0.0,2217.0,1239.0,761.0,930.0,478.0,2490.0,1747.0,497.0,220.0,44.0,06,033,2017
"Mariposa County, California",17658.0,7434.0,47.0,21.0,0.0,29.0,16.0,0.0,481.0,253.0,185.0,216.0,273.0,518.0,216.0,150.0,86.0,0.0,06,043,2017
"Modoc County, California",9017.0,3638.0,80.0,12.0,0.0,0.0,5.0,0.0,217.0,337.0,81.0,115.0,30.0,347.0,64.0,0.0,0.0,0.0,06,049,2017
"Yuba County, California",74644.0,25880.0,585.0,102.0,13.0,624.0,310.0,109.0,1072.0,791.0,880.0,1262.0,319.0,2364.0,2073.0,675.0,594.0,63.0,06,115,2017
"Contra Costa County, California",1123678.0,389597.0,4185.0,956.0,303.0,8985.0,2824.0,643.0,10251.0,11570.0,10838.0,16527.0,30306.0,19278.0,16836.0,13190.0,12363.0,6425.0,06,013,2017
"Inyo County, California",18195.0,8026.0,74.0,3.0,0.0,73.0,12.0,0.0,402.0,252.0,275.0,151.0,159.0,509.0,417.0,205.0,136.0,4.0,06,027,2017
"Lassen County, California",31470.0,9441.0,37.0,7.0,2.0,52.0,4.0,3.0,480.0,328.0,144.0,245.0,135.0,813.0,352.0,116.0,77.0,0.0,06,035,2017
"Stanislaus County, California",535684.0,171324.0,3091.0,647.0,429.0,5697.0,1300.0,368.0,6470.0,6233.0,6257.0,6103.0,3221.0,16648.0,12776.0,6682.0,2319.0,227.0,06,099,2017
"Santa Barbara County, California",442996.0,144015.0,2287.0,731.0,166.0,6892.0,3313.0,1419.0,4225.0,3844.0,2945.0,5017.0,7588.0,10599.0,9263.0,8231.0,6307.0,3388.0,06,083,2017
"Sonoma County, California",500943.0,190058.0,2130.0,481.0,210.0,4684.0,1823.0,436.0,6122.0,6083.0,4680.0,8293.0,11361.0,11337.0,9717.0,8376.0,7731.0,2890.0,06,097,2017
"Tehama County, California",63247.0,23712.0,247.0,151.0,27.0,639.0,172.0,0.0,1479.0,1212.0,984.0,1049.0,459.0,1959.0,1868.0,424.0,89.0,1.0,06,103,2017
"Imperial County, California",179957.0,45198.0,1063.0,312.0,263.0,2479.0,508.0,166.0,2409.0,1930.0,989.0,1158.0,642.0,6148.0,2742.0,772.0,260.0,51.0,06,025,2017
"Mono County, California",14058.0,4899.0,10.0,0.0,0.0,30.0,22.0,26.0,166.0,156.0,153.0,179.0,317.0,60.0,226.0,263.0,86.0,0.0,06,051,2017
"San Benito County, California",58671.0,17440.0,289.0,78.0,107.0,622.0,250.0,61.0,435.0,421.0,612.0,868.0,1340.0,816.0,895.0,616.0,443.0,207.0,06,069,2017
"Alameda County, California",1629615.0,569070.0,7731.0,1742.0,598.0,20141.0,8707.0,2610.0,11787.0,11373.0,10723.0,17142.0,37094.0,40164.0,31391.0,24127.0,22591.0,12482.0,06,001,2017
"Sacramento County, California",1495400.0,532050.0,5820.0,1263.0,527.0,13117.0,4035.0,1065.0,17106.0,16588.0,16273.0,19440.0,14811.0,49640.0,39737.0,20618.0,11748.0,1826.0,06,067,2017
"El Dorado County, California",185015.0,68084.0,544.0,100.0,65.0,589.0,152.0,9.0,3846.0,3001.0,2342.0,3772.0,4541.0,2441.0,2537.0,1273.0,782.0,432.0,06,017,2017
"Napa County, California",141005.0,49044.0,602.0,81.0,96.0,1484.0,459.0,107.0,1616.0,1704.0,1138.0,2181.0,3133.0,2093.0,2383.0,2226.0,1660.0,824.0,06,055,2017
"Monterey County, California",433168.0,125939.0,2898.0,577.0,441.0,7117.0,2938.0,2332.0,3193.0,3273.0,3701.0,4572.0,6382.0,8099.0,10312.0,7103.0,5561.0,2341.0,06,053,2017
"San Francisco County, California",864263.0,358772.0,3600.0,1514.0,297.0,5895.0,8335.0,2496.0,5833.0,4665.0,3771.0,6930.0,20282.0,31205.0,17976.0,11421.0,13046.0,13586.0,06,075,2017
"Sierra County, California",2885.0,1208.0,2.0,0.0,0.0,0.0,0.0,0.0,152.0,47.0,39.0,0.0,33.0,86.0,50.0,6.0,0.0,0.0,06,091,2017
"Tulare County, California",458809.0,135144.0,3672.0,789.0,393.0,6497.0,1401.0,702.0,7105.0,6356.0,5031.0,3558.0,1656.0,16000.0,10087.0,3478.0,1054.0,189.0,06,107,2017
"Yolo County, California",212605.0,72845.0,562.0,222.0,79.0,2265.0,685.0,55.0,2014.0,1636.0,1332.0,2384.0,2177.0,8076.0,4919.0,2835.0,1952.0,273.0,06,113,2017
"Humboldt County, California",135490.0,53966.0,491.0,276.0,62.0,847.0,271.0,73.0,2420.0,1984.0,1986.0,2148.0,1040.0,5996.0,4876.0,1504.0,860.0,88.0,06,023,2017
"Nevada County, California",98838.0,40386.0,243.0,134.0,94.0,291.0,39.0,53.0,2201.0,2269.0,2025.0,2202.0,2090.0,1917.0,1608.0,1023.0,682.0,125.0,06,057,2017
"Alpine County, California",1203.0,304.0,7.0,1.0,0.0,2.0,0.0,0.0,26.0,13.0,17.0,27.0,28.0,4.0,6.0,5.0,2.0,0.0,06,003,2017
"Madera County, California",154440.0,44458.0,1116.0,233.0,76.0,1961.0,412.0,473.0,2262.0,2020.0,1618.0,1363.0,802.0,3502.0,3318.0,1503.0,478.0,101.0,06,039,2017
"Mendocino County, California",87497.0,34182.0,459.0,113.0,57.0,794.0,162.0,145.0,1884.0,1602.0,822.0,1512.0,840.0,3373.0,2233.0,1079.0,542.0,35.0,06,045,2017
"Santa Cruz County, California",273263.0,95536.0,1105.0,317.0,87.0,2906.0,1551.0,579.0,3112.0,2447.0,2397.0,3840.0,7500.0,6979.0,5813.0,4495.0,3692.0,1685.0,06,087,2017
"Trinity County, California",13037.0,5462.0,37.0,22.0,25.0,44.0,7.0,5.0,384.0,298.0,131.0,131.0,166.0,574.0,345.0,111.0,6.0,0.0,06,105,2017
"Los Angeles County, California",10105722.0,3295198.0,62843.0,16158.0,6866.0,163713.0,93975.0,40772.0,87170.0,86414.0,85297.0,123545.0,172034.0,339912.0,294384.0,184104.0,129951.0,52043.0,06,037,2017
"Riverside County, California",2355002.0,711724.0,14715.0,3250.0,1773.0,22089.0,6263.0,1931.0,33454.0,32046.0,28866.0,34374.0,30250.0,48352.0,42654.0,26032.0,18250.0,5004.0,06,065,2017
"San Bernardino County, California",2121220.0,623642.0,16034.0,2833.0,1346.0,25172.0,7553.0,1822.0,24779.0,25464.0,22273.0,27586.0,20697.0,52784.0,43003.0,25755.0,15766.0,3939.0,06,071,2017
"Santa Clara County, California",1911226.0,630451.0,9953.0,2116.0,737.0,23947.0,10141.0,3204.0,13282.0,12319.0,10715.0,18154.0,51307.0,29779.0,25085.0,23002.0,25796.0,20759.0,06,085,2017
"Marin County, California",260814.0,104846.0,300.0,185.0,62.0,2189.0,1019.0,311.0,2640.0,3249.0,2558.0,3368.0,10919.0,4443.0,3931.0,3362.0,3950.0,3018.0,06,041,2017
"Placer County, California",374985.0,138564.0,842.0,174.0,70.0,1342.0,541.0,48.0,5563.0,5029.0,3960.0,7070.0,8470.0,6181.0,5263.0,3984.0,3399.0,1013.0,06,061,2017
"Siskiyou County, California",43530.0,19018.0,145.0,59.0,18.0,288.0,43.0,36.0,1228.0,993.0,602.0,519.0,197.0,1833.0,1185.0,298.0,89.0,28.0,06,093,2017
"Shasta County, California",178919.0,70486.0,474.0,127.0,83.0,1036.0,378.0,76.0,3915.0,3400.0,2626.0,2470.0,1329.0,6832.0,4880.0,2036.0,814.0,104.0,06,089,2017
"Solano County, California",434981.0,147352.0,1773.0,316.0,190.0,3581.0,1204.0,235.0,4051.0,4236.0,4405.0,6612.0,6317.0,9407.0,8524.0,6434.0,5397.0,1630.0,06,095,2017
"Del Norte County, California",27442.0,9683.0,59.0,12.0,27.0,129.0,98.0,13.0,808.0,362.0,151.0,272.0,226.0,1107.0,352.0,92.0,37.0,0.0,06,015,2017
"Colusa County, California",21479.0,7047.0,241.0,16.0,28.0,185.0,85.0,29.0,260.0,337.0,299.0,143.0,173.0,447.0,430.0,87.0,51.0,32.0,06,011,2017
"Glenn County, California",27935.0,9936.0,134.0,0.0,11.0,294.0,42.0,0.0,520.0,277.0,161.0,360.0,189.0,1168.0,460.0,189.0,9.0,0.0,06,021,2017
"Butte County, California",225207.0,86167.0,592.0,170.0,77.0,1287.0,366.0,72.0,5015.0,2801.0,2593.0,2568.0,1193.0,10335.0,6153.0,2449.0,1393.0,250.0,06,007,2017
"Kings County, California",150183.0,42349.0,950.0,237.0,65.0,1707.0,406.0,185.0,1395.0,1383.0,1177.0,920.0,426.0,4126.0,3315.0,1608.0,376.0,85.0,06,031,2017
"Plumas County, California",18724.0,8287.0,42.0,0.0,0.0,23.0,0.0,0.0,437.0,516.0,223.0,402.0,191.0,703.0,283.0,129.0,53.0,0.0,06,063,2017
"San Luis Obispo County, California",280119.0,105044.0,656.0,198.0,90.0,1696.0,835.0,103.0,3532.0,3201.0,2955.0,4676.0,6003.0,7585.0,5864.0,4206.0,2792.0,978.0,06,079,2017
"Fresno County, California",971616.0,301824.0,6755.0,1200.0,478.0,14264.0,3888.0,1657.0,10715.0,11047.0,8797.0,8089.0,5730.0,39128.0,25257.0,8205.0,3536.0,606.0,06,019,2017
"Kern County, California",878744.0,264993.0,6115.0,1022.0,462.0,12050.0,3269.0,1008.0,10671.0,10729.0,8726.0,7353.0,3918.0,27339.0,18999.0,6879.0,3588.0,761.0,06,029,2017
"Orange County, California",3155816.0,1024976.0,15820.0,4451.0,1503.0,43873.0,18961.0,6867.0,27180.0,25996.0,23311.0,40841.0,77175.0,54293.0,59336.0,50102.0,51360.0,24860.0,06,059,2017
