POPULATION_NAME,FISCAL_YEAR,DEMO_GRP,TOTAL_CT,TOTAL_CT_ANNOT,SMHS1_CT,SMHS1_CT_ANNOT,SMHS5_CT,SMHS5_CT_ANNOT
Alameda,2015,A1 Adults 21-44,131186,,6586,,3778,
Alameda,2015,A2 Adults 45-64,91014,,6414,,3848,
Alameda,2015,A3 Adults 65+,52042,,825,,520,
Alameda,2015,R1 Alaskan Native or American Indian,962,,61,,39,
Alameda,2015,R2 Asian or Pacific Islander,75955,,1634,,1054,
Alameda,2015,R3 Black,56809,,4247,,2321,
Alameda,2015,R4 Hispanic,41775,,1433,,858,
Alameda,2015,R5 White,46735,,3396,,2032,
Alameda,2015,R6 Other,30389,,1249,,712,
Alameda,2015,R7 Unknown,21617,,1805,,1130,
Alameda,2015,S1 Female,153277,,7523,,4452,
Alameda,2015,S2 Male,120965,,6302,,3694,
Alameda,2015,Z1 ALL,274242,,13825,,8146,
Alameda,2016,A1 Adults 21-44,165903,,6002,,3524,
Alameda,2016,A2 Adults 45-64,99194,,4879,,3313,
Alameda,2016,A3 Adults 65+,55992,,719,,510,
Alameda,2016,R1 Alaskan Native or American Indian,995,,54,,24,
Alameda,2016,R2 Asian or Pacific Islander,83644,,1141,,824,
Alameda,2016,R3 Black,57008,,3430,,2090,
Alameda,2016,R4 Hispanic,67682,,1322,,751,
Alameda,2016,R5 White,48261,,2684,,1728,
Alameda,2016,R6 Other,43798,,1894,,1195,
Alameda,2016,R7 Unknown,19701,,1075,,735,
Alameda,2016,S1 Female,179945,,5921,,3779,
Alameda,2016,S2 Male,141143,,5679,,3568,
Alameda,2016,S3 Unknown,,1,0,,0,
Alameda,2016,Z1 ALL,321089,,11600,,7347,
Alameda,2017,A1 Adults 21-44,170844,,5896,,3458,
Alameda,2017,A2 Adults 45-64,99730,,4475,,3059,
Alameda,2017,A3 Adults 65+,59183,,719,,526,
Alameda,2017,R1 Alaskan Native or American Indian,903,,45,,22,
Alameda,2017,R2 Asian or Pacific Islander,84228,,1007,,724,
Alameda,2017,R3 Black,54490,,3153,,1965,
Alameda,2017,R4 Hispanic,70461,,1229,,710,
Alameda,2017,R5 White,46551,,2454,,1576,
Alameda,2017,R6 Other,54026,,2176,,1371,
Alameda,2017,R7 Unknown,19098,,1026,,675,
Alameda,2017,S1 Female,184317,,5512,,3562,
Alameda,2017,S2 Male,145440,,5578,,3481,
Alameda,2017,Z1 ALL,329757,,11090,,7043,
Alameda,2018,A1 Adults 21-44,168177,,6011,,3599,
Alameda,2018,A2 Adults 45-64,97212,,4305,,3012,
Alameda,2018,A3 Adults 65+,60465,,773,,598,
Alameda,2018,R1 Alaskan Native or American Indian,848,,55,,29,
Alameda,2018,R2 Asian or Pacific Islander,80448,,955,,685,
Alameda,2018,R3 Black,51932,,3167,,2021,
Alameda,2018,R4 Hispanic,70534,,1233,,727,
Alameda,2018,R5 White,43002,,2288,,1501,
Alameda,2018,R6 Other,60801,,2395,,1562,
Alameda,2018,R7 Unknown,18289,,996,,684,
Alameda,2018,S1 Female,181455,,5461,,3617,
Alameda,2018,S2 Male,144399,,5628,,3592,
Alameda,2018,Z1 ALL,325854,,11089,,7209,
Alameda,2019,A1 Adults 21-44,162613,,5806,,3687,
Alameda,2019,A2 Adults 45-64,94159,,4193,,3038,
Alameda,2019,A3 Adults 65+,61545,,806,,613,
Alameda,2019,R1 Alaskan Native or American Indian,805,,45,,22,
Alameda,2019,R2 Asian or Pacific Islander,78393,,906,,693,
Alameda,2019,R3 Black,50155,,3067,,1973,
Alameda,2019,R4 Hispanic,69283,,1254,,757,
Alameda,2019,R5 White,40090,,2161,,1526,
Alameda,2019,R6 Other,62848,,2429,,1678,
Alameda,2019,R7 Unknown,16743,,943,,689,
Alameda,2019,S1 Female,176795,,5258,,3667,
Alameda,2019,S2 Male,141522,,5547,,3671,
Alameda,2019,Z1 ALL,318317,,10805,,7338,
Alameda,2020,A1 Adults 21-44,156936,,5575,,3624,
Alameda,2020,A2 Adults 45-64,91429,,3883,,2917,
Alameda,2020,A3 Adults 65+,61656,,850,,681,
Alameda,2020,R1 Alaskan Native or American Indian,773,,47,,29,
Alameda,2020,R2 Asian or Pacific Islander,76179,,892,,698,
Alameda,2020,R3 Black,47920,,2894,,2004,
