fileyear,Program,Level,Number,Person,Cases,Medi-Cal,ACA,FPACT,CalFresh,CalWorks,IHSS,Child Welfare,Foster Care,DDS,WIC,Black,White,Hispanic,Asian_PI,Native American/Other/Unknown,Female,Male,Unknown/Other Gender,age1 missing,17 and Under,18 and Over,age2 missing,18-64,65 and Over,18 to 59,60 and Over,1 program,2 programs,3 programs,4 programs,5+ programs,1 department,2 departments,3 departments,4 departments,fc age missing,age 0,1 to 2,3 to 5,6 to 10,11 to 15,16 to 17,18 to 20,less than 19,20 to 24,25 to 29,30 to 34,35 and over,wic age 0,wic age 1,wic age 2,wic age 3,wic age 4,wic age 5 to 19,wic age 20 and Over
2015,CalFresh,State Assembly,District Missing,131232,89614,119059,,6401,,31478,658,5819,1442,0,14842,23870,43575,42639,8362,12786,62004,69228,,,40168,,,87725,3339,83205,7859,10982,75182,33418,10420,1230,11269,105306,14657,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 01,53141,26395,50643,,2204,,14869,650,1709,535,0,8076,998,40720,5418,1408,4597,27802,25339,,,21206,,,30339,1596,28787,3148,2200,29591,16027,4807,516,2249,42887,8005,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 02,55439,29728,52343,,2608,,13182,834,1878,438,0,8047,1185,32040,11814,2430,7970,29009,26430,,,22671,,,30798,1970,29150,3618,2688,31825,16193,4260,473,2737,44694,8008,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 03,71609,32192,69105,,2659,,22821,680,2057,528,0,12146,2331,41064,19123,4710,4381,37455,34154,,,32464,,,37596,1549,36076,3069,2123,37928,23776,7161,621,2209,57308,12092,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 04,39766,20706,37802,,1431,,9187,647,802,174,0,6471,1583,17849,15485,1969,2880,21208,18558,,,18187,,,20077,1502,18913,2666,1744,23041,11869,2896,216,1783,31575,6408,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 05,58464,25710,56032,,1422,,17241,483,1572,425,0,10372,1026,28570,23661,685,4522,30833,27631,,,28255,,,28580,1629,26964,3245,2178,31778,18610,5474,424,2241,45956,10267,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 06,21378,11474,19836,,524,,5521,278,556,200,0,2683,963,13180,3454,1207,2574,11574,9804,,,8999,,,11520,859,10843,1536,1427,12222,6162,1420,147,1447,17307,2624,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 07,84941,43626,81195,,2643,,31806,805,2076,416,0,14549,18819,21213,20670,13241,10998,45849,39092,,,40404,,,42659,1878,40840,3697,3283,40620,31323,9074,641,3364,67198,14379,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 08,72290,37815,69010,,2295,,28573,683,1763,427,0,12522,14346,26706,12048,6200,12990,39306,32984,,,33035,,,37745,1510,36197,3058,2889,33534,26963,8255,649,2964,56953,12373,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 09,68631,32408,65623,,1659,,25312,576,1183,297,0,12085,16693,11266,18456,15878,6338,37422,31209,,,34866,,,32152,1613,30685,3080,2668,33201,25441,6940,381,2729,53992,11910,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 10,25896,15424,24528,,1026,,5159,549,585,93,0,3779,1441,10022,10949,1678,1806,13873,12023,,,12582,,,11897,1417,10945,2369,1245,15379,7690,1465,117,1264,20885,3747,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 11,49934,25345,47224,,1830,,17244,372,966,254,0,7538,14185,13134,12708,4553,5354,27842,22092,,,24135,,,24632,1167,23531,2268,2377,25018,17784,4442,313,2426,40111,7397,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 12,63841,33165,60691,,1607,,19479,459,1093,265,0,9974,3000,25503,28732,2959,3647,34711,29130,,,30383,,,31778,1680,30465,2993,2840,34674,20700,5286,341,2909,51084,9848,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 13,96242,43930,92810,,2878,,36182,483,1692,417,0,18017,16873,16398,42550,13592,6829,52291,43951,,,49623,,,44732,1887,42914,3705,2970,46683,35023,10943,623,3068,75351,17823,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 14,42413,22739,40163,,1575,,12985,438,693,156,0,6262,12092,9476,11134,4918,4793,23366,19047,,,19818,,,21078,1517,19873,2722,1991,22597,14167,3453,205,2043,34193,6177,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 15,34146,19317,31927,,1831,,9766,388,666,144,0,5122,13449,3886,9898,3401,3512,19116,15030,,,15468,,,17309,1369,16268,2410,1916,17978,11235,2822,195,1945,27149,5052,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 16,7680,4106,7110,,207,,1953,84,113,29,0,981,601,2681,2014,1000,1384,4327,3353,,,3430,,,3692,558,3391,859,523,4411,2241,465,40,532,6182,966,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 17,37322,24456,34889,,1585,,7368,997,1177,129,0,4941,8423,4384,8547,10789,5179,18901,18421,,,13984,,,20983,2355,18880,4458,2188,22194,10296,2413,231,2243,30177,4902,,,,,,,,,,,,,,,,,,,,,
2015,CalFresh,State Assembly,District 18,69029,37119,65272,,4064,,21994,759,1579,326,0,11543,27605,4244,20066,11748,5366,38245,30784,,,32546,,,34234,2249,32062,4421,3268,34489,23521,7334,417,3353,54275,11401,,,,,,,,,,,,,,,,,,,,,
