CALENDAR_YEAR,COC_ID,COC_NAME,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,All,California,18-24,15862
2017,All,California,25-34,28339
2017,All,California,35-44,25556
2017,All,California,45-54,27441
2017,All,California,55-64,23220
2017,All,California,65+,7031
2017,All,California,Under 18,50802
2017,All,California,Unknown,5983
2017,CA-500,Santa Clara County CoC,18-24,818
2017,CA-500,Santa Clara County CoC,25-34,1571
2017,CA-500,Santa Clara County CoC,35-44,1515
2017,CA-500,Santa Clara County CoC,45-54,1757
2017,CA-500,Santa Clara County CoC,55-64,1560
2017,CA-500,Santa Clara County CoC,65+,489
2017,CA-500,Santa Clara County CoC,Under 18,2494
2017,CA-500,Santa Clara County CoC,Unknown,120
2017,CA-501,San Francisco CoC,18-24,457
2017,CA-501,San Francisco CoC,25-34,488
2017,CA-501,San Francisco CoC,35-44,507
2017,CA-501,San Francisco CoC,45-54,608
2017,CA-501,San Francisco CoC,55-64,525
2017,CA-501,San Francisco CoC,65+,179
2017,CA-501,San Francisco CoC,Under 18,1547
2017,CA-501,San Francisco CoC,Unknown,130
2017,CA-502,Alameda County CoC,18-24,805
2017,CA-502,Alameda County CoC,25-34,929
2017,CA-502,Alameda County CoC,35-44,789
2017,CA-502,Alameda County CoC,45-54,960
2017,CA-502,Alameda County CoC,55-64,887
2017,CA-502,Alameda County CoC,65+,286
2017,CA-502,Alameda County CoC,Under 18,1915
2017,CA-502,Alameda County CoC,Unknown,142
2017,CA-503,Sacramento County CoC,18-24,747
2017,CA-503,Sacramento County CoC,25-34,1582
2017,CA-503,Sacramento County CoC,35-44,1404
2017,CA-503,Sacramento County CoC,45-54,1502
2017,CA-503,Sacramento County CoC,55-64,1062
2017,CA-503,Sacramento County CoC,65+,268
2017,CA-503,Sacramento County CoC,Under 18,3692
2017,CA-503,Sacramento County CoC,Unknown,163
2017,CA-504,Sonoma County CoC,18-24,298
2017,CA-504,Sonoma County CoC,25-34,462
2017,CA-504,Sonoma County CoC,35-44,468
2017,CA-504,Sonoma County CoC,45-54,521
2017,CA-504,Sonoma County CoC,55-64,500
2017,CA-504,Sonoma County CoC,65+,155
2017,CA-504,Sonoma County CoC,Under 18,706
2017,CA-504,Sonoma County CoC,Unknown,30
2017,CA-505,Contra Costa County CoC,18-24,333
2017,CA-505,Contra Costa County CoC,25-34,766
2017,CA-505,Contra Costa County CoC,35-44,779
2017,CA-505,Contra Costa County CoC,45-54,843
2017,CA-505,Contra Costa County CoC,55-64,750
2017,CA-505,Contra Costa County CoC,65+,259
2017,CA-505,Contra Costa County CoC,Under 18,1061
2017,CA-505,Contra Costa County CoC,Unknown,56
2017,CA-506,"Monterey, San Benito Counties CoC",18-24,56
2017,CA-506,"Monterey, San Benito Counties CoC",25-34,55
2017,CA-506,"Monterey, San Benito Counties CoC",35-44,52
2017,CA-506,"Monterey, San Benito Counties CoC",45-54,71
2017,CA-506,"Monterey, San Benito Counties CoC",55-64,103
2017,CA-506,"Monterey, San Benito Counties CoC",65+,48
2017,CA-506,"Monterey, San Benito Counties CoC",Under 18,70
2017,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2017,CA-507,Marin County CoC,18-24,102
2017,CA-507,Marin County CoC,25-34,250
2017,CA-507,Marin County CoC,35-44,281
2017,CA-507,Marin County CoC,45-54,316
2017,CA-507,Marin County CoC,55-64,287
2017,CA-507,Marin County CoC,65+,110
2017,CA-507,Marin County CoC,Under 18,294
2017,CA-507,Marin County CoC,Unknown,15
2017,CA-508,Santa Cruz County CoC,18-24,116
2017,CA-508,Santa Cruz County CoC,25-34,297
2017,CA-508,Santa Cruz County CoC,35-44,278
2017,CA-508,Santa Cruz County CoC,45-54,314
2017,CA-508,Santa Cruz County CoC,55-64,292
2017,CA-508,Santa Cruz County CoC,65+,115
2017,CA-508,Santa Cruz County CoC,Under 18,464
2017,CA-508,Santa Cruz County CoC,Unknown,44
2017,CA-509,Mendocino County CoC,18-24,88
2017,CA-509,Mendocino County CoC,25-34,126
2017,CA-509,Mendocino County CoC,35-44,129
2017,CA-509,Mendocino County CoC,45-54,145
2017,CA-509,Mendocino County CoC,55-64,120
2017,CA-509,Mendocino County CoC,65+,44
2017,CA-509,Mendocino County CoC,Under 18,60
2017,CA-509,Mendocino County CoC,Unknown,*
2017,CA-510,Stanislaus County CoC,18-24,542
2017,CA-510,Stanislaus County CoC,25-34,987
2017,CA-510,Stanislaus County CoC,35-44,863
2017,CA-510,Stanislaus County CoC,45-54,678
2017,CA-510,Stanislaus County CoC,55-64,481
2017,CA-510,Stanislaus County CoC,65+,134
2017,CA-510,Stanislaus County CoC,Under 18,2455
2017,CA-510,Stanislaus County CoC,Unknown,128
2017,CA-511,San Joaquin County CoC,18-24,773
2017,CA-511,San Joaquin County CoC,25-34,1650
2017,CA-511,San Joaquin County CoC,35-44,1218
2017,CA-511,San Joaquin County CoC,45-54,1043
2017,CA-511,San Joaquin County CoC,55-64,756
2017,CA-511,San Joaquin County CoC,65+,242
2017,CA-511,San Joaquin County CoC,Under 18,3838
2017,CA-511,San Joaquin County CoC,Unknown,184
2017,CA-512,San Mateo County CoC,18-24,307
2017,CA-512,San Mateo County CoC,25-34,685
2017,CA-512,San Mateo County CoC,35-44,614
2017,CA-512,San Mateo County CoC,45-54,672
2017,CA-512,San Mateo County CoC,55-64,627
2017,CA-512,San Mateo County CoC,65+,186
2017,CA-512,San Mateo County CoC,Under 18,1204
2017,CA-512,San Mateo County CoC,Unknown,72
2017,CA-513,"Kings, Tulare Counties CoC",18-24,283
2017,CA-513,"Kings, Tulare Counties CoC",25-34,608
2017,CA-513,"Kings, Tulare Counties CoC",35-44,556
2017,CA-513,"Kings, Tulare Counties CoC",45-54,438
2017,CA-513,"Kings, Tulare Counties CoC",55-64,284
2017,CA-513,"Kings, Tulare Counties CoC",65+,79
2017,CA-513,"Kings, Tulare Counties CoC",Under 18,777
2017,CA-513,"Kings, Tulare Counties CoC",Unknown,41
2017,CA-514,"Fresno, Madera Counties CoC",18-24,145
