Year,County,Occupation,Successful Closures,Annotation Code,Count Annotation Desc,Percent,Percent Annotation Desc
2014,Alameda,Not Reported,67,,,,
2014,Alameda,Clerical and Administrative Support,114,,,,
2014,Alameda,Community and Social Service Occupations,3,,,,
2014,Alameda,Computer and Mathematical Occupations,5,,,,
2014,Alameda,"Education, Training, and Library Occupations",4,,,,
2014,Alameda,Healthcare Practitioners and Technical Occupations,1,,,,
2014,Alameda,Healthcare Support Occupations,1,,,,
2014,Alameda,Managerial and Administrative,3,,,,
2014,Alameda,"Prod, Const, Operating, Maint & Material Handling",97,,,,
2014,Alameda,"Professional, Paraprofessional and Technical",74,,,,
2014,Alameda,RSA Special Occupations and Miscellaneous,37,,,,
2014,Alameda,Sales and Related Occupations,42,,,,
2014,Alameda,Service Occupations,106,,,,
2014,Amador,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Amador,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Butte,Not Reported,17,,,,
2014,Butte,"Agricultural, Forestry, Fishing and Related",5,,,,
2014,Butte,Clerical and Administrative Support,16,,,,
2014,Butte,Managerial and Administrative,2,,,,
2014,Butte,"Prod, Const, Operating, Maint & Material Handling",14,,,,
2014,Butte,"Professional, Paraprofessional and Technical",11,,,,
2014,Butte,RSA Special Occupations and Miscellaneous,7,,,,
2014,Butte,Sales and Related Occupations,17,,,,
2014,Butte,Service Occupations,24,,,,
2014,Calaveras,Not Reported,1,,,,
2014,Calaveras,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Calaveras,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Colusa,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Colusa,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Colusa,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Contra Costa,Not Reported,49,,,,
2014,Contra Costa,"Agricultural, Forestry, Fishing and Related",13,,,,
2014,Contra Costa,Clerical and Administrative Support,85,,,,
2014,Contra Costa,Community and Social Service Occupations,3,,,,
2014,Contra Costa,Computer and Mathematical Occupations,3,,,,
2014,Contra Costa,Construction and Extraction Occupations,1,,,,
2014,Contra Costa,Managerial and Administrative,4,,,,
2014,Contra Costa,"Prod, Const, Operating, Maint & Material Handling",64,,,,
2014,Contra Costa,"Professional, Paraprofessional and Technical",34,,,,
2014,Contra Costa,Protective Service Occupations,1,,,,
2014,Contra Costa,RSA Special Occupations and Miscellaneous,21,,,,
2014,Contra Costa,Sales and Related Occupations,37,,,,
2014,Contra Costa,Service Occupations,69,,,,
2014,Del Norte,Not Reported,5,,,,
2014,Del Norte,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Del Norte,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Del Norte,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Del Norte,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Del Norte,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Del Norte,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Del Norte,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,El Dorado,Not Reported,5,,,,
2014,El Dorado,Clerical and Administrative Support,4,,,,
