Year,County,Sex,Number of Consumers,Annotation Code,Count Annotation Desc,Percent,Percent Annotation Desc
2014,Alameda,Not Reported,4,,,,
2014,Alameda,Female,"2,356",,,,
2014,Alameda,Male,"2,391",,,,
2014,Alpine,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Amador,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Amador,Male,18,,,,
2014,Butte,Female,354,,,,
2014,Butte,Male,381,,,,
2014,Calaveras,Female,14,,,,
2014,Calaveras,Male,16,,,,
2014,Colusa,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Colusa,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Contra Costa,Female,"1,493",,,,
2014,Contra Costa,Male,"1,476",,,,
2014,Del Norte,Female,80,,,,
2014,Del Norte,Male,99,,,,
2014,El Dorado,Female,115,,,,
2014,El Dorado,Male,169,,,,
2014,Fresno,Not Reported,1,,,,
2014,Fresno,Female,"1,020",,,,
2014,Fresno,Male,"1,329",,,,
2014,Glenn,Female,57,,,,
2014,Glenn,Male,112,,,,
2014,Humboldt,Not Reported,1,,,,
2014,Humboldt,Female,305,,,,
2014,Humboldt,Male,326,,,,
2014,Imperial,Female,375,,,,
2014,Imperial,Male,463,,,,
2014,Inyo,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Inyo,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Kern,Not Reported,1,,,,
2014,Kern,Female,598,,,,
2014,Kern,Male,750,,,,
2014,Kings,Female,135,,,,
2014,Kings,Male,167,,,,
2014,Lake,Female,70,,,,
2014,Lake,Male,99,,,,
2014,Lassen,Female,86,,,,
2014,Lassen,Male,100,,,,
2014,Los Angeles,Not Reported,20,,,,
2014,Los Angeles,Female,"12,061",,,,
2014,Los Angeles,Male,"16,951",,,,
2014,Madera,Female,72,,,,
2014,Madera,Male,120,,,,
2014,Marin,Female,286,,,,
2014,Marin,Male,381,,,,
2014,Mariposa,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Mariposa,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Mendocino,Not Reported,9,,,,
2014,Mendocino,Female,234,,,,
2014,Mendocino,Male,330,,,,
2014,Merced,Female,346,,,,
2014,Merced,Male,397,,,,
2014,Modoc,Female,17,,,,
2014,Modoc,Male,30,,,,
2014,Mono,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Mono,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Monterey,Female,624,,,,
2014,Monterey,Male,687,,,,
2014,Napa,Female,221,,,,
2014,Napa,Male,273,,,,
2014,Nevada,Female,121,,,,
2014,Nevada,Male,162,,,,
2014,Not Reported,Not Reported,89,,,,
2014,Not Reported,Female,71,,,,
2014,Not Reported,Male,103,,,,
2014,Orange,Not Reported,3,,,,
2014,Orange,Female,"2,955",,,,
2014,Orange,Male,"4,381",,,,
2014,Out Of State,Female,96,,,,
2014,Out Of State,Male,76,,,,
2014,Placer,Not Reported,1,,,,
2014,Placer,Female,345,,,,
2014,Placer,Male,467,,,,
2014,Plumas,Female,62,,,,
2014,Plumas,Male,29,,,,
2014,Riverside,Not Reported,1,,,,
2014,Riverside,Female,"2,055",,,,
2014,Riverside,Male,"2,481",,,,
2014,Sacramento,Female,"1,802",,,,
2014,Sacramento,Male,"2,054",,,,
2014,San Benito,Female,116,,,,
2014,San Benito,Male,120,,,,
2014,San Bernardino,Not Reported,4,,,,
2014,San Bernardino,Female,"2,204",,,,
2014,San Bernardino,Male,"2,959",,,,
2014,San Diego,Not Reported,3,,,,
2014,San Diego,Female,"3,546",,,,
2014,San Diego,Male,"4,575",,,,
2014,San Francisco,Not Reported,13,,,,
2014,San Francisco,Female,971,,,,
2014,San Francisco,Male,"1,682",,,,
2014,San Joaquin,Female,407,,,,
2014,San Joaquin,Male,460,,,,
2014,San Luis Obispo,Female,341,,,,
2014,San Luis Obispo,Male,416,,,,
2014,San Mateo,Female,853,,,,
2014,San Mateo,Male,"1,270",,,,
2014,Santa Barbara,Not Reported,1,,,,
2014,Santa Barbara,Female,869,,,,
2014,Santa Barbara,Male,"1,045",,,,
2014,Santa Clara,Female,"1,091",,,,
2014,Santa Clara,Male,"1,441",,,,
2014,Santa Cruz,Female,312,,,,
2014,Santa Cruz,Male,302,,,,
2014,Shasta,Female,226,,,,
2014,Shasta,Male,321,,,,
2014,Sierra,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Sierra,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Siskiyou,Female,97,,,,
2014,Siskiyou,Male,104,,,,
2014,Solano,Not Reported,1,,,,
2014,Solano,Female,813,,,,
2014,Solano,Male,870,,,,
2014,Sonoma,Female,944,,,,
2014,Sonoma,Male,928,,,,
2014,Stanislaus,Female,394,,,,
2014,Stanislaus,Male,486,,,,
2014,Sutter,Not Reported,1,,,,
2014,Sutter,Female,93,,,,
2014,Sutter,Male,98,,,,
2014,Tehama,Female,101,,,,
2014,Tehama,Male,115,,,,
2014,Trinity,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Trinity,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2014,Tulare,Female,435,,,,
2014,Tulare,Male,500,,,,
2014,Tuolumne,Female,19,,,,
2014,Tuolumne,Male,24,,,,
2014,Ventura,Female,"1,193",,,,
2014,Ventura,Male,"1,330",,,,
2014,Yolo,Female,185,,,,
2014,Yolo,Male,217,,,,
2014,Yuba,Female,58,,,,
2014,Yuba,Male,108,,,,
2015,Alameda,Not Reported,2,,,,
2015,Alameda,Female,"2,107",,,,
2015,Alameda,Male,"2,288",,,,
2015,Alpine,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Alpine,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Amador,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Amador,Male,21,,,,
2015,Butte,Not Reported,1,,,,
2015,Butte,Female,392,,,,
2015,Butte,Male,441,,,,
2015,Calaveras,Female,15,,,,
2015,Calaveras,Male,12,,,,
2015,Colusa,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Colusa,Male,21,,,,
2015,Contra Costa,Not Reported,1,,,,
2015,Contra Costa,Female,"1,413",,,,
2015,Contra Costa,Male,"1,299",,,,
2015,Del Norte,Female,92,,,,
2015,Del Norte,Male,106,,,,
2015,El Dorado,Female,137,,,,
2015,El Dorado,Male,177,,,,
2015,Fresno,Not Reported,1,,,,
2015,Fresno,Female,"1,023",,,,
2015,Fresno,Male,"1,350",,,,
2015,Glenn,Female,59,,,,
2015,Glenn,Male,128,,,,
2015,Humboldt,Not Reported,1,,,,
2015,Humboldt,Female,323,,,,
2015,Humboldt,Male,367,,,,
2015,Imperial,Female,377,,,,
2015,Imperial,Male,513,,,,
2015,Inyo,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Inyo,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Kern,Female,655,,,,
2015,Kern,Male,795,,,,
2015,Kings,Female,142,,,,
2015,Kings,Male,165,,,,
2015,Lake,Female,73,,,,
2015,Lake,Male,76,,,,
2015,Lassen,Not Reported,1,,,,
2015,Lassen,Female,76,,,,
2015,Lassen,Male,96,,,,
2015,Los Angeles,Not Reported,22,,,,
2015,Los Angeles,Female,"11,849",,,,
2015,Los Angeles,Male,"16,377",,,,
2015,Madera,Female,60,,,,
2015,Madera,Male,123,,,,
2015,Marin,Not Reported,1,,,,
2015,Marin,Female,242,,,,
2015,Marin,Male,313,,,,
2015,Mariposa,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Mariposa,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Mendocino,Not Reported,6,,,,
2015,Mendocino,Female,220,,,,
2015,Mendocino,Male,329,,,,
2015,Merced,Female,374,,,,
2015,Merced,Male,430,,,,
2015,Modoc,Female,17,,,,
2015,Modoc,Male,36,,,,
2015,Mono,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Mono,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Monterey,Female,551,,,,
2015,Monterey,Male,567,,,,
2015,Napa,Female,221,,,,
2015,Napa,Male,242,,,,
2015,Nevada,Female,133,,,,
2015,Nevada,Male,172,,,,
2015,Not Reported,Not Reported,194,,,,
2015,Not Reported,Female,115,,,,
2015,Not Reported,Male,120,,,,
2015,Orange,Not Reported,5,,,,
2015,Orange,Female,"2,778",,,,
2015,Orange,Male,"4,115",,,,
2015,Out Of State,Female,51,,,,
2015,Out Of State,Male,43,,,,
2015,Placer,Not Reported,2,,,,
2015,Placer,Female,402,,,,
2015,Placer,Male,552,,,,
2015,Plumas,Female,57,,,,
2015,Plumas,Male,26,,,,
2015,Riverside,Female,"1,923",,,,
2015,Riverside,Male,"2,368",,,,
2015,Sacramento,Not Reported,1,,,,
2015,Sacramento,Female,"1,951",,,,
2015,Sacramento,Male,"2,150",,,,
2015,San Benito,Female,112,,,,
2015,San Benito,Male,130,,,,
2015,San Bernardino,Not Reported,4,,,,
2015,San Bernardino,Female,"2,300",,,,
2015,San Bernardino,Male,"3,091",,,,
2015,San Diego,Not Reported,6,,,,
2015,San Diego,Female,"3,408",,,,
2015,San Diego,Male,"4,481",,,,
2015,San Francisco,Not Reported,16,,,,
2015,San Francisco,Female,895,,,,
2015,San Francisco,Male,"1,564",,,,
2015,San Joaquin,Female,454,,,,
2015,San Joaquin,Male,471,,,,
2015,San Luis Obispo,Female,325,,,,
2015,San Luis Obispo,Male,464,,,,
2015,San Mateo,Not Reported,3,,,,
2015,San Mateo,Female,741,,,,
2015,San Mateo,Male,"1,171",,,,
2015,Santa Barbara,Not Reported,1,,,,
2015,Santa Barbara,Female,851,,,,
2015,Santa Barbara,Male,989,,,,
2015,Santa Clara,Female,"1,022",,,,
2015,Santa Clara,Male,"1,329",,,,
2015,Santa Cruz,Female,316,,,,
2015,Santa Cruz,Male,325,,,,
2015,Shasta,Female,235,,,,
2015,Shasta,Male,297,,,,
2015,Sierra,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Sierra,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Siskiyou,Female,93,,,,
2015,Siskiyou,Male,86,,,,
2015,Solano,Not Reported,2,,,,
2015,Solano,Female,760,,,,
2015,Solano,Male,879,,,,
2015,Sonoma,Female,861,,,,
2015,Sonoma,Male,886,,,,
2015,Stanislaus,Female,414,,,,
2015,Stanislaus,Male,522,,,,
2015,Sutter,Female,92,,,,
2015,Sutter,Male,100,,,,
2015,Tehama,Female,123,,,,
2015,Tehama,Male,140,,,,
2015,Trinity,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Trinity,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Tulare,Female,456,,,,
2015,Tulare,Male,511,,,,
2015,Tuolumne,Female,20,,,,
2015,Tuolumne,Male,31,,,,
2015,Ventura,Not Reported,3,,,,
2015,Ventura,Female,"1,328",,,,
2015,Ventura,Male,"1,457",,,,
2015,Yolo,Female,196,,,,
2015,Yolo,Male,252,,,,
2015,Yuba,Female,76,,,,
2015,Yuba,Male,108,,,,
2016,Alameda,Female,2004,,,,
2016,Alameda,Male,2233,,,,
2016,Alameda,Not Reported,5,,,,
2016,Alpine,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Alpine,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Amador,Female,17,,,,
2016,Amador,Male,32,,,,
2016,Butte,Female,368,,,,
2016,Butte,Male,475,,,,
2016,Butte,Not Reported,3,,,,
2016,Calaveras,Female,19,,,,
2016,Calaveras,Male,20,,,,
2016,Colusa,Female,12,,,,
2016,Colusa,Male,24,,,,
2016,Contra Costa,Female,1370,,,,
2016,Contra Costa,Male,1289,,,,
2016,Contra Costa,Not Reported,5,,,,
2016,Del Norte,Female,87,,,,
2016,Del Norte,Male,93,,,,
2016,El Dorado,Female,156,,,,
2016,El Dorado,Male,217,,,,
2016,El Dorado,Not Reported,1,,,,
2016,Fresno,Female,1035,,,,
2016,Fresno,Male,1369,,,,
2016,Fresno,Not Reported,2,,,,
2016,Glenn,Female,81,,,,
2016,Glenn,Male,139,,,,
2016,Humboldt,Female,318,,,,
2016,Humboldt,Male,344,,,,
2016,Imperial,Female,420,,,,
2016,Imperial,Male,537,,,,
2016,Inyo,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Inyo,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Kern,Female,719,,,,
2016,Kern,Male,879,,,,
2016,Kings,Female,150,,,,
2016,Kings,Male,160,,,,
2016,Lake,Female,70,,,,
2016,Lake,Male,54,,,,
2016,Lassen,Female,79,,,,
2016,Lassen,Male,99,,,,
2016,Lassen,Not Reported,7,,,,
2016,Los Angeles,Female,12163,,,,
2016,Los Angeles,Male,17077,,,,
2016,Los Angeles,Not Reported,127,,,,
2016,Madera,Female,68,,,,
2016,Madera,Male,142,,,,
2016,Marin,Female,206,,,,
2016,Marin,Male,253,,,,
2016,Mariposa,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Mariposa,Male,11,,,,
2016,Mendocino,Female,192,,,,
2016,Mendocino,Male,298,,,,
2016,Mendocino,Not Reported,5,,,,
2016,Merced,Female,392,,,,
2016,Merced,Male,461,,,,
2016,Modoc,Female,13,,,,
2016,Modoc,Male,36,,,,
2016,Modoc,Not Reported,1,,,,
2016,Mono,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Monterey,Female,566,,,,
2016,Monterey,Male,604,,,,
2016,Monterey,Not Reported,1,,,,
2016,Napa,Female,218,,,,
2016,Napa,Male,232,,,,
2016,Napa,Not Reported,1,,,,
2016,Nevada,Female,156,,,,
2016,Nevada,Male,176,,,,
2016,Not Reported,Female,12,,,,
2016,Not Reported,Male,19,,,,
2016,Not Reported,Not Reported,47,,,,
2016,Orange,Female,2716,,,,
2016,Orange,Male,4037,,,,
2016,Orange,Not Reported,11,,,,
2016,Out of State,Female,182,,,,
2016,Out of State,Male,152,,,,
2016,Placer,Female,478,,,,
2016,Placer,Male,589,,,,
2016,Placer,Not Reported,1,,,,
2016,Plumas,Female,57,,,,
2016,Plumas,Male,20,,,,
2016,Plumas,Not Reported,1,,,,
2016,Riverside,Female,1928,,,,
2016,Riverside,Male,2440,,,,
2016,Riverside,Not Reported,1,,,,
2016,Sacramento,Female,2030,,,,
2016,Sacramento,Male,2230,,,,
2016,Sacramento,Not Reported,3,,,,
2016,San Benito,Female,100,,,,
2016,San Benito,Male,132,,,,
2016,San Benito,Not Reported,1,,,,
2016,San Bernardino,Female,2406,,,,
2016,San Bernardino,Male,3207,,,,
2016,San Bernardino,Not Reported,15,,,,
2016,San Diego,Female,3508,,,,
2016,San Diego,Male,4681,,,,
2016,San Diego,Not Reported,8,,,,
2016,San Francisco,Female,17,,,,
2016,San Francisco,Male,33,,,,
2016,San Joaquin,Female,504,,,,
2016,San Joaquin,Male,540,,,,
2016,San Joaquin,Not Reported,1,,,,
2016,San Luis Obispo,Female,356,,,,
2016,San Luis Obispo,Male,521,,,,
2016,San Luis Obispo,Not Reported,4,,,,
2016,San Mateo,Female,1523,,,,
2016,San Mateo,Male,2594,,,,
2016,San Mateo,Not Reported,29,,,,
2016,Santa Barbara,Female,848,,,,
2016,Santa Barbara,Male,962,,,,
2016,Santa Barbara,Not Reported,3,,,,
2016,Santa Clara,Female,997,,,,
2016,Santa Clara,Male,1259,,,,
2016,Santa Clara,Not Reported,5,,,,
2016,Santa Cruz,Female,331,,,,
2016,Santa Cruz,Male,378,,,,
2016,Santa Cruz,Not Reported,1,,,,
2016,Shasta,Female,264,,,,
2016,Shasta,Male,352,,,,
2016,Sierra,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Sierra,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Siskiyou,Female,83,,,,
2016,Siskiyou,Male,111,,,,
2016,Solano,Female,757,,,,
2016,Solano,Male,881,,,,
2016,Solano,Not Reported,12,,,,
2016,Sonoma,Female,832,,,,
2016,Sonoma,Male,909,,,,
2016,Sonoma,Not Reported,2,,,,
2016,Stanislaus,Female,409,,,,
2016,Stanislaus,Male,525,,,,
2016,Stanislaus,Not Reported,4,,,,
2016,Sutter,Female,94,,,,
2016,Sutter,Male,105,,,,
2016,Tehama,Female,135,,,,
2016,Tehama,Male,128,,,,
2016,Trinity,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Trinity,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Tulare,Female,489,,,,
2016,Tulare,Male,518,,,,
2016,Tuolumne,Female,36,,,,
2016,Tuolumne,Male,32,,,,
2016,Ventura,Female,1322,,,,
2016,Ventura,Male,1514,,,,
2016,Ventura,Not Reported,2,,,,
2016,Yolo,Female,243,,,,
2016,Yolo,Male,279,,,,
2016,Yuba,Female,62,,,,
2016,Yuba,Male,101,,,,
2017,Alameda,Female,"1,879",,,,
2017,Alameda,Male,"2,145",,,,
2017,Alameda,Not Reported ,2,,,,
2017,Alpine,Female,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2017,Alpine,Male,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2017,Amador,Female,13,,,,
2017,Amador,Male,20,,,,
2017,Butte,Female,400,,,,
2017,Butte,Male,482,,,,
2017,Butte,Not Reported ,1,,,,
2017,Calaveras,Female,17,,,,
2017,Calaveras,Male,19,,,,
2017,Colusa,Female,14,,,,
2017,Colusa,Male,22,,,,
2017,Contra Costa ,Female,"1,347",,,,
