ID,Name,State,Value,Year
CA-001,Alameda County,California,60.6,2022
CA-003,Alpine County,California,45.7,2022
CA-005,Amador County,California,60,2022
CA-007,Butte County,California,62.1,2022
CA-009,Calaveras County,California,60.3,2022
CA-011,Colusa County,California,62.8,2022
CA-013,Contra Costa County,California,61.7,2022
CA-015,Del Norte County,California,52.4,2022
CA-017,El Dorado County,California,55.7,2022
CA-019,Fresno County,California,57.5,2022
CA-021,Glenn County,California,61.9,2022
CA-023,Humboldt County,California,54.4,2022
CA-025,Imperial County,California,75.5,2022
CA-027,Inyo County,California,62.3,2022
CA-029,Kern County,California,63.7,2022
CA-031,Kings County,California,65.3,2022
CA-033,Lake County,California,58.5,2022
CA-035,Lassen County,California,47.9,2022
CA-037,Los Angeles County,California,63.7,2022
CA-039,Madera County,California,58,2022
CA-041,Marin County,California,56.9,2022
CA-043,Mariposa County,California,57.2,2022
CA-045,Mendocino County,California,56.3,2022
CA-047,Merced County,California,63.8,2022
CA-049,Modoc County,California,48.3,2022
CA-051,Mono County,California,45.6,2022
CA-053,Monterey County,California,60,2022
CA-055,Napa County,California,60.7,2022
CA-057,Nevada County,California,53.8,2022
CA-059,Orange County,California,66,2022
CA-061,Placer County,California,55.2,2022
CA-063,Plumas County,California,48.6,2022
CA-065,Riverside County,California,70,2022
CA-067,Sacramento County,California,63.7,2022
CA-069,San Benito County,California,60.8,2022
CA-071,San Bernardino County,California,67.9,2022
CA-073,San Diego County,California,64.1,2022
CA-075,San Francisco County,California,57.6,2022
CA-077,San Joaquin County,California,63.7,2022
CA-079,San Luis Obispo County,California,61.1,2022
CA-081,San Mateo County,California,57.4,2022
CA-083,Santa Barbara County,California,59.9,2022
CA-085,Santa Clara County,California,59.8,2022
CA-087,Santa Cruz County,California,58.6,2022
CA-089,Shasta County,California,57,2022
CA-091,Sierra County,California,48.4,2022
CA-093,Siskiyou County,California,50.6,2022
CA-095,Solano County,California,62.3,2022
CA-097,Sonoma County,California,58,2022
CA-099,Stanislaus County,California,63,2022
CA-101,Sutter County,California,64.2,2022
CA-103,Tehama County,California,60.7,2022
CA-105,Trinity County,California,54.1,2022
CA-107,Tulare County,California,56.1,2022
CA-109,Tuolumne County,California,51.8,2022
CA-111,Ventura County,California,59.3,2022
CA-113,Yolo County,California,63.2,2022
CA-115,Yuba County,California,62.5,2022
CA-001,Alameda County,California,60.4,2021
CA-003,Alpine County,California,46.4,2021
CA-005,Amador County,California,60,2021
CA-007,Butte County,California,61.9,2021
CA-009,Calaveras County,California,60.5,2021
CA-011,Colusa County,California,63.2,2021
CA-013,Contra Costa County,California,61.3,2021
CA-015,Del Norte County,California,53.3,2021
CA-017,El Dorado County,California,56.1,2021
CA-019,Fresno County,California,57.7,2021
CA-021,Glenn County,California,62.3,2021
CA-023,Humboldt County,California,54.7,2021
CA-025,Imperial County,California,75.7,2021
CA-027,Inyo County,California,63,2021
CA-029,Kern County,California,63.7,2021
CA-031,Kings County,California,65.3,2021
CA-033,Lake County,California,59.1,2021
