Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
State,California,1990,Annual,15141700,14267900,873800,5.8,N,Final
County,Alameda County,1990,Annual,677200,649800,27400,4,N,Final
County,Alpine County,1990,Annual,380,340,40,9.6,N,Final
County,Amador County,1990,Annual,11450,10860,590,5.2,N,Final
County,Butte County,1990,Annual,78800,72200,6600,8.4,N,Final
County,Calaveras County,1990,Annual,13440,12530,910,6.8,N,Final
County,Colusa County,1990,Annual,8000,6860,1140,14.2,N,Final
County,Contra Costa County,1990,Annual,435200,417800,17400,4,N,Final
County,Del Norte County,1990,Annual,9610,8450,1150,12,N,Final
County,El Dorado County,1990,Annual,63800,61000,2800,4.5,N,Final
County,Fresno County,1990,Annual,328500,290400,38100,11.6,N,Final
County,Glenn County,1990,Annual,11250,9840,1400,12.4,N,Final
County,Humboldt County,1990,Annual,56200,51800,4400,7.9,N,Final
County,Imperial County,1990,Annual,47300,35200,12000,25.4,N,Final
County,Inyo County,1990,Annual,7010,6510,500,7.1,N,Final
County,Kern County,1990,Annual,256700,228800,27900,10.9,N,Final
County,Kings County,1990,Annual,37600,33400,4200,11.2,N,Final
County,Lake County,1990,Annual,19970,18200,1770,8.8,N,Final
County,Lassen County,1990,Annual,9980,9000,980,9.8,N,Final
County,Los Angeles County,1990,Annual,4505200,4237800,267300,5.9,N,Final
County,Madera County,1990,Annual,41500,35900,5600,13.4,N,Final
County,Marin County,1990,Annual,131900,128500,3300,2.5,N,Final
County,Mariposa County,1990,Annual,6770,6390,380,5.6,N,Final
County,Mendocino County,1990,Annual,38730,35790,2950,7.6,N,Final
County,Merced County,1990,Annual,76900,67000,9800,12.8,N,Final
County,Modoc County,1990,Annual,3760,3400,360,9.6,N,Final
County,Mono County,1990,Annual,5720,5380,340,5.9,N,Final
County,Monterey County,1990,Annual,172700,156000,16600,9.6,N,Final
County,Napa County,1990,Annual,56400,54100,2300,4.1,N,Final
County,Nevada County,1990,Annual,36020,34290,1730,4.8,N,Final
County,Orange County,1990,Annual,1352700,1305500,47100,3.5,N,Final
County,Placer County,1990,Annual,89500,85800,3800,4.2,N,Final
County,Plumas County,1990,Annual,9470,8530,940,9.9,N,Final
County,Riverside County,1990,Annual,536400,498100,38300,7.1,N,Final
County,Sacramento County,1990,Annual,522100,498300,23900,4.6,N,Final
County,San Benito County,1990,Annual,20900,18400,2500,12.1,N,Final
County,San Bernardino County,1990,Annual,635000,599300,35600,5.6,N,Final
County,San Diego County,1990,Annual,1214800,1158700,56000,4.6,N,Final
County,San Francisco County,1990,Annual,409300,393900,15400,3.8,N,Final
County,San Joaquin County,1990,Annual,227000,204500,22400,9.9,N,Final
County,San Luis Obispo County,1990,Annual,99700,95100,4600,4.6,N,Final
County,San Mateo County,1990,Annual,370100,360500,9700,2.6,N,Final
County,Santa Barbara County,1990,Annual,192500,183100,9400,4.9,N,Final
County,Santa Clara County,1990,Annual,852100,818500,33700,4,N,Final
County,Santa Cruz County,1990,Annual,135600,125900,9700,7.2,N,Final
County,Shasta County,1990,Annual,67700,61800,5800,8.6,N,Final
County,Sierra County,1990,Annual,1630,1450,180,10.9,N,Final
County,Siskiyou County,1990,Annual,19430,17060,2360,12.2,N,Final
County,Solano County,1990,Annual,164800,157000,7900,4.8,N,Final
County,Sonoma County,1990,Annual,206200,198300,8000,3.9,N,Final
County,Stanislaus County,1990,Annual,180300,159000,21300,11.8,N,Final
County,Sutter County,1990,Annual,33100,28500,4700,14.1,N,Final
County,Tehama County,1990,Annual,19920,17930,1990,10,N,Final
County,Trinity County,1990,Annual,5340,4680,660,12.4,N,Final
County,Tulare County,1990,Annual,145700,127800,17900,12.3,N,Final
County,Tuolumne County,1990,Annual,19860,18530,1330,6.7,N,Final
County,Ventura County,1990,Annual,366500,345400,21100,5.7,N,Final
County,Yolo County,1990,Annual,74000,68900,5100,6.8,N,Final
County,Yuba County,1990,Annual,22100,19800,2400,10.6,N,Final
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,1990,Annual,1352700,1305500,47100,3.5,N,Final
Metropolitan Area,Bakersfield MSA,1990,Annual,256700,228800,27900,10.9,N,Final
Metropolitan Area,Chico MSA,1990,Annual,78800,72200,6600,8.4,N,Final
Metropolitan Area,El Centro MSA,1990,Annual,47300,35200,12000,25.4,N,Final
Metropolitan Area,Fresno MSA,1990,Annual,328500,290400,38100,11.6,N,Final
Metropolitan Area,Hanford-Corcoran MSA,1990,Annual,37600,33400,4200,11.2,N,Final
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,1990,Annual,4505200,4237800,267300,5.9,N,Final
Metropolitan Area,Madera MSA,1990,Annual,41500,35900,5600,13.4,N,Final
Metropolitan Area,Merced MSA,1990,Annual,76900,67000,9800,12.8,N,Final
Metropolitan Area,Modesto MSA,1990,Annual,180300,159000,21300,11.8,N,Final
Metropolitan Area,Napa MSA,1990,Annual,56400,54100,2300,4.1,N,Final
Metropolitan Area,Oakland-Hayward-Berkeley MD,1990,Annual,1112400,1067600,44800,4,N,Final
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,1990,Annual,366500,345400,21100,5.7,N,Final
Metropolitan Area,Redding MSA,1990,Annual,67700,61800,5800,8.6,N,Final
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,1990,Annual,1171400,1097400,74000,6.3,N,Final
Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,1990,Annual,749500,713900,35500,4.7,N,Final
Metropolitan Area,Salinas MSA,1990,Annual,172700,156000,16600,9.6,N,Final
Metropolitan Area,San Diego-Carlsbad MSA,1990,Annual,1214800,1158700,56000,4.6,N,Final
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,1990,Annual,779400,754400,25100,3.2,N,Final
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,1990,Annual,873100,836900,36200,4.1,N,Final
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA,1990,Annual,99700,95100,4600,4.6,N,Final
Metropolitan Area,San Rafael MD,1990,Annual,131900,128500,3300,2.5,N,Final
Metropolitan Area,Santa Cruz-Watsonville MSA,1990,Annual,135600,125900,9700,7.2,N,Final
Metropolitan Area,Santa Maria-Santa Barbara MSA,1990,Annual,192500,183100,9400,4.9,N,Final
Metropolitan Area,Santa Rosa MSA,1990,Annual,206200,198300,8000,3.9,N,Final
Metropolitan Area,Stockton-Lodi MSA,1990,Annual,227000,204500,22400,9.9,N,Final
Metropolitan Area,Vallejo-Fairfield MSA,1990,Annual,164800,157000,7900,4.8,N,Final
Metropolitan Area,Visalia-Porterville MSA,1990,Annual,145700,127800,17900,12.3,N,Final
Metropolitan Area,Yuba City MSA,1990,Annual,55200,48200,7000,12.7,N,Final
State,California,1991,Annual,15130500,13949700,1180800,7.8,N,Final
County,Alameda County,1991,Annual,673300,636300,37000,5.5,N,Final
County,Alpine County,1991,Annual,360,310,50,13.4,N,Final
County,Amador County,1991,Annual,12010,11170,840,7,N,Final
County,Butte County,1991,Annual,79500,71600,7900,9.9,N,Final
County,Calaveras County,1991,Annual,14000,12680,1310,9.4,N,Final
County,Colusa County,1991,Annual,8120,6650,1470,18.1,N,Final
County,Contra Costa County,1991,Annual,435500,411400,24100,5.5,N,Final
County,Del Norte County,1991,Annual,9800,8590,1210,12.3,N,Final
County,El Dorado County,1991,Annual,65700,61300,4400,6.7,N,Final
County,Fresno County,1991,Annual,337900,292100,45800,13.5,N,Final
County,Glenn County,1991,Annual,11120,9350,1770,15.9,N,Final
County,Humboldt County,1991,Annual,56800,51800,5000,8.9,N,Final
County,Imperial County,1991,Annual,49100,36200,12900,26.3,N,Final
County,Inyo County,1991,Annual,7190,6480,710,9.8,N,Final
County,Kern County,1991,Annual,265400,232700,32700,12.3,N,Final
County,Kings County,1991,Annual,38700,33800,5000,12.8,N,Final
County,Lake County,1991,Annual,20970,18710,2250,10.7,N,Final
County,Lassen County,1991,Annual,10270,9190,1080,10.5,N,Final
County,Los Angeles County,1991,Annual,4449200,4092500,356600,8,N,Final
County,Madera County,1991,Annual,44400,37700,6700,15.1,N,Final
County,Marin County,1991,Annual,130900,125800,5100,3.9,N,Final
County,Mariposa County,1991,Annual,6960,6460,500,7.2,N,Final
County,Mendocino County,1991,Annual,38880,34720,4170,10.7,N,Final
County,Merced County,1991,Annual,77500,65300,12200,15.8,N,Final
County,Modoc County,1991,Annual,3890,3400,490,12.6,N,Final
County,Mono County,1991,Annual,5470,4810,660,12.1,N,Final
County,Monterey County,1991,Annual,171800,152100,19600,11.4,N,Final
County,Napa County,1991,Annual,55300,52100,3200,5.8,N,Final
County,Nevada County,1991,Annual,38470,35940,2520,6.6,N,Final
County,Orange County,1991,Annual,1321800,1251300,70500,5.3,N,Final
County,Placer County,1991,Annual,91300,85300,6000,6.5,N,Final
County,Plumas County,1991,Annual,9680,8600,1080,11.1,N,Final
County,Riverside County,1991,Annual,551400,495200,56300,10.2,N,Final
County,Sacramento County,1991,Annual,528500,493000,35500,6.7,N,Final
County,San Benito County,1991,Annual,21300,17800,3500,16.2,N,Final
County,San Bernardino County,1991,Annual,646000,592100,54000,8.4,N,Final
County,San Diego County,1991,Annual,1209800,1133000,76900,6.4,N,Final
County,San Francisco County,1991,Annual,405900,384000,22000,5.4,N,Final
County,San Joaquin County,1991,Annual,232000,203900,28200,12.1,N,Final
County,San Luis Obispo County,1991,Annual,96400,90500,5900,6.1,N,Final
County,San Mateo County,1991,Annual,367400,352600,14800,4,N,Final
County,Santa Barbara County,1991,Annual,195300,183600,11700,6,N,Final
County,Santa Clara County,1991,Annual,843600,794900,48700,5.8,N,Final
County,Santa Cruz County,1991,Annual,137500,125200,12300,9,N,Final
County,Shasta County,1991,Annual,68400,60900,7500,11,N,Final
County,Sierra County,1991,Annual,1650,1470,180,10.9,N,Final
County,Siskiyou County,1991,Annual,19170,16630,2550,13.3,N,Final
County,Solano County,1991,Annual,166800,156300,10600,6.3,N,Final
County,Sonoma County,1991,Annual,212300,200400,11900,5.6,N,Final
County,Stanislaus County,1991,Annual,183900,156500,27400,14.9,N,Final
County,Sutter County,1991,Annual,34600,28700,5900,17.1,N,Final
County,Tehama County,1991,Annual,21240,18770,2470,11.6,N,Final
County,Trinity County,1991,Annual,5140,4390,750,14.6,N,Final
County,Tulare County,1991,Annual,153400,125300,28100,18.3,N,Final
County,Tuolumne County,1991,Annual,20060,18300,1760,8.8,N,Final
County,Ventura County,1991,Annual,367400,339300,28100,7.6,N,Final
County,Yolo County,1991,Annual,77200,71100,6100,7.9,N,Final
County,Yuba County,1991,Annual,22700,19500,3200,14,N,Final
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,1991,Annual,1321800,1251300,70500,5.3,N,Final
Metropolitan Area,Bakersfield MSA,1991,Annual,265400,232700,32700,12.3,N,Final
Metropolitan Area,Chico MSA,1991,Annual,79500,71600,7900,9.9,N,Final
Metropolitan Area,El Centro MSA,1991,Annual,49100,36200,12900,26.3,N,Final
Metropolitan Area,Fresno MSA,1991,Annual,337900,292100,45800,13.5,N,Final
Metropolitan Area,Hanford-Corcoran MSA,1991,Annual,38700,33800,5000,12.8,N,Final
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,1991,Annual,4449200,4092500,356600,8,N,Final
Metropolitan Area,Madera MSA,1991,Annual,44400,37700,6700,15.1,N,Final
Metropolitan Area,Merced MSA,1991,Annual,77500,65300,12200,15.8,N,Final
Metropolitan Area,Modesto MSA,1991,Annual,183900,156500,27400,14.9,N,Final
Metropolitan Area,Napa MSA,1991,Annual,55300,52100,3200,5.8,N,Final
Metropolitan Area,Oakland-Hayward-Berkeley MD,1991,Annual,1108700,1047700,61000,5.5,N,Final
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,1991,Annual,367400,339300,28100,7.6,N,Final
Metropolitan Area,Redding MSA,1991,Annual,68400,60900,7500,11,N,Final
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,1991,Annual,1197500,1087200,110200,9.2,N,Final
Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,1991,Annual,762700,710700,52000,6.8,N,Final
Metropolitan Area,Salinas MSA,1991,Annual,171800,152100,19600,11.4,N,Final
Metropolitan Area,San Diego-Carlsbad MSA,1991,Annual,1209800,1133000,76900,6.4,N,Final
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,1991,Annual,773300,736600,36700,4.7,N,Final
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,1991,Annual,864900,812700,52200,6,N,Final
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA,1991,Annual,96400,90500,5900,6.1,N,Final
Metropolitan Area,San Rafael MD,1991,Annual,130900,125800,5100,3.9,N,Final
Metropolitan Area,Santa Cruz-Watsonville MSA,1991,Annual,137500,125200,12300,9,N,Final
