CALENDAR_YEAR,COC_ID,COC_NAME,RACE,EXPERIENCING_HOMELESSNESS
2017,All,California,"American Indian, Alaska Native, or Indigenous",5588
2017,All,California,Asian or Asian American,2951
2017,All,California,"Black, African American, or African",57413
2017,All,California,Multiple Races,8919
2017,All,California,Native Hawaiian or Pacific Islander,2547
2017,All,California,Unknown,6399
2017,All,California,White,98054
2017,CA-500,Santa Clara County CoC,"American Indian, Alaska Native, or Indigenous",604
2017,CA-500,Santa Clara County CoC,Asian or Asian American,416
2017,CA-500,Santa Clara County CoC,"Black, African American, or African",1561
2017,CA-500,Santa Clara County CoC,Multiple Races,762
2017,CA-500,Santa Clara County CoC,Native Hawaiian or Pacific Islander,239
2017,CA-500,Santa Clara County CoC,Unknown,260
2017,CA-500,Santa Clara County CoC,White,6232
2017,CA-501,San Francisco CoC,"American Indian, Alaska Native, or Indigenous",293
2017,CA-501,San Francisco CoC,Asian or Asian American,161
2017,CA-501,San Francisco CoC,"Black, African American, or African",1705
2017,CA-501,San Francisco CoC,Multiple Races,234
2017,CA-501,San Francisco CoC,Native Hawaiian or Pacific Islander,122
2017,CA-501,San Francisco CoC,Unknown,455
2017,CA-501,San Francisco CoC,White,1422
2017,CA-502,Alameda County CoC,"American Indian, Alaska Native, or Indigenous",229
2017,CA-502,Alameda County CoC,Asian or Asian American,179
2017,CA-502,Alameda County CoC,"Black, African American, or African",3679
2017,CA-502,Alameda County CoC,Multiple Races,627
2017,CA-502,Alameda County CoC,Native Hawaiian or Pacific Islander,96
2017,CA-502,Alameda County CoC,Unknown,76
2017,CA-502,Alameda County CoC,White,1717
2017,CA-503,Sacramento County CoC,"American Indian, Alaska Native, or Indigenous",246
2017,CA-503,Sacramento County CoC,Asian or Asian American,123
2017,CA-503,Sacramento County CoC,"Black, African American, or African",4606
2017,CA-503,Sacramento County CoC,Multiple Races,869
2017,CA-503,Sacramento County CoC,Native Hawaiian or Pacific Islander,161
2017,CA-503,Sacramento County CoC,Unknown,23
2017,CA-503,Sacramento County CoC,White,4271
2017,CA-504,Sonoma County CoC,"American Indian, Alaska Native, or Indigenous",318
2017,CA-504,Sonoma County CoC,Asian or Asian American,32
2017,CA-504,Sonoma County CoC,"Black, African American, or African",223
2017,CA-504,Sonoma County CoC,Multiple Races,313
2017,CA-504,Sonoma County CoC,Native Hawaiian or Pacific Islander,48
2017,CA-504,Sonoma County CoC,Unknown,17
2017,CA-504,Sonoma County CoC,White,2144
2017,CA-505,Contra Costa County CoC,"American Indian, Alaska Native, or Indigenous",341
2017,CA-505,Contra Costa County CoC,Asian or Asian American,76
2017,CA-505,Contra Costa County CoC,"Black, African American, or African",1834
2017,CA-505,Contra Costa County CoC,Multiple Races,273
2017,CA-505,Contra Costa County CoC,Native Hawaiian or Pacific Islander,125
2017,CA-505,Contra Costa County CoC,Unknown,159
2017,CA-505,Contra Costa County CoC,White,1994
2017,CA-506,"Monterey, San Benito Counties CoC","American Indian, Alaska Native, or Indigenous",14
2017,CA-506,"Monterey, San Benito Counties CoC",Asian or Asian American,*
2017,CA-506,"Monterey, San Benito Counties CoC","Black, African American, or African",59
2017,CA-506,"Monterey, San Benito Counties CoC",Multiple Races,15
2017,CA-506,"Monterey, San Benito Counties CoC",Native Hawaiian or Pacific Islander,14
2017,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2017,CA-506,"Monterey, San Benito Counties CoC",White,344
2017,CA-507,Marin County CoC,"American Indian, Alaska Native, or Indigenous",30
2017,CA-507,Marin County CoC,Asian or Asian American,36
2017,CA-507,Marin County CoC,"Black, African American, or African",341
2017,CA-507,Marin County CoC,Multiple Races,57
2017,CA-507,Marin County CoC,Native Hawaiian or Pacific Islander,18
2017,CA-507,Marin County CoC,Unknown,62
2017,CA-507,Marin County CoC,White,1081
2017,CA-508,Santa Cruz County CoC,"American Indian, Alaska Native, or Indigenous",196
2017,CA-508,Santa Cruz County CoC,Asian or Asian American,20
2017,CA-508,Santa Cruz County CoC,"Black, African American, or African",105
2017,CA-508,Santa Cruz County CoC,Multiple Races,111
2017,CA-508,Santa Cruz County CoC,Native Hawaiian or Pacific Islander,19
2017,CA-508,Santa Cruz County CoC,Unknown,65
2017,CA-508,Santa Cruz County CoC,White,1378
2017,CA-509,Mendocino County CoC,"American Indian, Alaska Native, or Indigenous",66
2017,CA-509,Mendocino County CoC,Asian or Asian American,*
2017,CA-509,Mendocino County CoC,"Black, African American, or African",35
2017,CA-509,Mendocino County CoC,Multiple Races,38
2017,CA-509,Mendocino County CoC,Native Hawaiian or Pacific Islander,*
2017,CA-509,Mendocino County CoC,Unknown,*
2017,CA-509,Mendocino County CoC,White,557
2017,CA-510,Stanislaus County CoC,"American Indian, Alaska Native, or Indigenous",144
2017,CA-510,Stanislaus County CoC,Asian or Asian American,89
2017,CA-510,Stanislaus County CoC,"Black, African American, or African",771
2017,CA-510,Stanislaus County CoC,Multiple Races,456
2017,CA-510,Stanislaus County CoC,Native Hawaiian or Pacific Islander,89
2017,CA-510,Stanislaus County CoC,Unknown,*
2017,CA-510,Stanislaus County CoC,White,4645
2017,CA-511,San Joaquin County CoC,"American Indian, Alaska Native, or Indigenous",132
2017,CA-511,San Joaquin County CoC,Asian or Asian American,184
2017,CA-511,San Joaquin County CoC,"Black, African American, or African",3290
2017,CA-511,San Joaquin County CoC,Multiple Races,631
2017,CA-511,San Joaquin County CoC,Native Hawaiian or Pacific Islander,95
2017,CA-511,San Joaquin County CoC,Unknown,369
2017,CA-511,San Joaquin County CoC,White,4917
2017,CA-512,San Mateo County CoC,"American Indian, Alaska Native, or Indigenous",286
2017,CA-512,San Mateo County CoC,Asian or Asian American,247
2017,CA-512,San Mateo County CoC,"Black, African American, or African",805
2017,CA-512,San Mateo County CoC,Multiple Races,183
2017,CA-512,San Mateo County CoC,Native Hawaiian or Pacific Islander,386
2017,CA-512,San Mateo County CoC,Unknown,67
2017,CA-512,San Mateo County CoC,White,2336
2017,CA-513,"Kings, Tulare Counties CoC","American Indian, Alaska Native, or Indigenous",106
2017,CA-513,"Kings, Tulare Counties CoC",Asian or Asian American,18
2017,CA-513,"Kings, Tulare Counties CoC","Black, African American, or African",377
2017,CA-513,"Kings, Tulare Counties CoC",Multiple Races,95
2017,CA-513,"Kings, Tulare Counties CoC",Native Hawaiian or Pacific Islander,17
2017,CA-513,"Kings, Tulare Counties CoC",Unknown,112
2017,CA-513,"Kings, Tulare Counties CoC",White,2323
2017,CA-514,"Fresno, Madera Counties CoC","American Indian, Alaska Native, or Indigenous",62
2017,CA-514,"Fresno, Madera Counties CoC",Asian or Asian American,20
2017,CA-514,"Fresno, Madera Counties CoC","Black, African American, or African",436
2017,CA-514,"Fresno, Madera Counties CoC",Multiple Races,60
2017,CA-514,"Fresno, Madera Counties CoC",Native Hawaiian or Pacific Islander,*
2017,CA-514,"Fresno, Madera Counties CoC",Unknown,*
2017,CA-514,"Fresno, Madera Counties CoC",White,1268
2017,CA-515,Placer County CoC,"American Indian, Alaska Native, or Indigenous",41
2017,CA-515,Placer County CoC,Asian or Asian American,*
2017,CA-515,Placer County CoC,"Black, African American, or African",92
2017,CA-515,Placer County CoC,Multiple Races,156
2017,CA-515,Placer County CoC,Native Hawaiian or Pacific Islander,*
2017,CA-515,Placer County CoC,Unknown,18
2017,CA-515,Placer County CoC,White,948
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","American Indian, Alaska Native, or Indigenous",14
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Asian or Asian American,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Black, African American, or African",*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Multiple Races,25
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Native Hawaiian or Pacific Islander,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,41
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",White,166
2017,CA-517,Napa County CoC,"American Indian, Alaska Native, or Indigenous",112
2017,CA-517,Napa County CoC,Asian or Asian American,*
2017,CA-517,Napa County CoC,"Black, African American, or African",59
2017,CA-517,Napa County CoC,Multiple Races,24
2017,CA-517,Napa County CoC,Native Hawaiian or Pacific Islander,17
2017,CA-517,Napa County CoC,Unknown,*
2017,CA-517,Napa County CoC,White,725
2017,CA-518,Solano County CoC,"American Indian, Alaska Native, or Indigenous",39
2017,CA-518,Solano County CoC,Asian or Asian American,16
2017,CA-518,Solano County CoC,"Black, African American, or African",408
2017,CA-518,Solano County CoC,Multiple Races,83
2017,CA-518,Solano County CoC,Native Hawaiian or Pacific Islander,31
2017,CA-518,Solano County CoC,Unknown,36
2017,CA-518,Solano County CoC,White,395
2017,CA-519,Butte County CoC,"American Indian, Alaska Native, or Indigenous",57
2017,CA-519,Butte County CoC,Asian or Asian American,*
2017,CA-519,Butte County CoC,"Black, African American, or African",77
2017,CA-519,Butte County CoC,Multiple Races,111
2017,CA-519,Butte County CoC,Native Hawaiian or Pacific Islander,*
2017,CA-519,Butte County CoC,Unknown,*
2017,CA-519,Butte County CoC,White,1108
2017,CA-520,Merced County CoC,"American Indian, Alaska Native, or Indigenous",13
2017,CA-520,Merced County CoC,Asian or Asian American,*
2017,CA-520,Merced County CoC,"Black, African American, or African",128
2017,CA-520,Merced County CoC,Multiple Races,22
2017,CA-520,Merced County CoC,Native Hawaiian or Pacific Islander,*
2017,CA-520,Merced County CoC,Unknown,*
2017,CA-520,Merced County CoC,White,418
2017,CA-521,Yolo County CoC,"American Indian, Alaska Native, or Indigenous",27
2017,CA-521,Yolo County CoC,Asian or Asian American,*
2017,CA-521,Yolo County CoC,"Black, African American, or African",127
2017,CA-521,Yolo County CoC,Multiple Races,20
2017,CA-521,Yolo County CoC,Native Hawaiian or Pacific Islander,*
